body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
0.000177,-0.013256,-0.005895,0.001883,-0.000862,-0.005610,0.003411,-0.011892,-0.000567,0.017984,-0.052263,-0.004136,-0.014081,0.024986,-0.007856,-0.007313,0.019477,-0.053337,0.023882,0.032765,-0.053674,0.004461,-0.053128,0.011189,0.016864,-0.007109,0.023524,0.022768,0.006003,0.017607,-0.021812,0.094269,-0.039756,-0.004378,0.013640,-0.008269,0.013465,-0.016183,-0.036590,0.019894,0.039855,-0.023302
0.000593,-0.012203,-0.001363,0.000101,-0.003188,-0.001367,0.001289,-0.009614,-0.000475,0.017653,-0.044361,-0.003668,-0.014291,0.025371,-0.003420,-0.007389,0.020396,-0.049396,0.021033,0.030246,-0.049576,0.004701,-0.050336,0.013167,0.014858,-0.007264,0.024832,0.020224,0.003832,0.021516,-0.021741,0.086226,-0.039499,-0.000608,0.013039,-0.005229,0.018040,-0.017673,-0.031922,0.029918,0.032672,-0.030573
0.001841,-0.009041,0.012235,-0.005244,-0.010168,0.011359,-0.005077,-0.002782,-0.000201,0.016662,-0.020659,-0.002267,-0.014926,0.026524,0.009887,-0.007610,0.023160,-0.037577,0.012478,0.022718,-0.037263,0.005416,-0.041963,0.019107,0.008854,-0.007734,0.028751,0.012610,-0.002694,0.033233,-0.021527,0.062059,-0.038817,0.010695,0.011232,0.003885,0.031771,-0.022140,-0.017925,0.059971,0.011144,-0.052390
0.002888,-0.007842,0.019068,-0.008638,-0.015718,0.017601,-0.010040,0.007077,-0.004846,0.017920,-0.002819,-0.006488,-0.012688,0.024103,0.016890,-0.005764,0.021779,-0.027498,0.006305,0.011708,-0.026713,0.003573,-0.035916,0.021489,0.000756,-0.005881,0.030420,0.003749,-0.004439,0.040404,-0.007559,0.042098,-0.035054,0.015560,0.010350,0.008411,0.035735,-0.019887,-0.001980,0.073522,-0.003371,-0.061250
0.003213,-0.009204,0.015719,-0.008380,-0.017062,0.014239,-0.011111,0.015033,-0.012091,0.020804,0.000239,-0.014225,-0.008698,0.019317,0.014088,-0.002787,0.016938,-0.024200,0.005597,0.002703,-0.023210,0.000104,-0.035220,0.019119,-0.005401,-0.002632,0.029007,-0.001948,-0.000526,0.039449,0.013185,0.036325,-0.030064,0.011557,0.010835,0.006092,0.027950,-0.012040,0.007943,0.063819,-0.003617,-0.052710
0.002215,-0.007734,0.021167,-0.006519,-0.018838,0.020015,-0.007958,0.008017,-0.007736,0.019248,-0.003875,-0.009494,-0.006599,0.015479,0.019979,-0.002051,0.014621,-0.008794,0.002514,-0.002991,-0.007646,-0.002824,-0.029919,0.020403,-0.009963,-0.004313,0.028397,-0.003146,0.005302,0.035515,0.012903,0.020229,0.010597,0.017646,0.015040,0.007878,0.032645,-0.005769,0.010275,0.057735,-0.002878,-0.044950
0.001225,-0.005924,0.027400,-0.004744,-0.019744,0.026568,-0.004299,-0.001568,-0.001843,0.016586,-0.009347,-0.003084,-0.005933,0.013353,0.026442,-0.003033,0.012501,0.007829,-0.001469,-0.006600,0.009030,-0.005301,-0.024468,0.023430,-0.014654,-0.009061,0.028645,-0.005615,0.006254,0.031780,0.001950,0.000451,0.048848,0.022621,0.019422,0.011360,0.036072,0.000873,0.014129,0.051912,0.000441,-0.034625
0.001580,-0.006264,0.026404,-0.004743,-0.018483,0.025536,-0.003845,-0.001318,-0.004479,0.016156,-0.010363,-0.005784,-0.006247,0.013700,0.025354,-0.005212,0.008255,0.014780,-0.004873,-0.009344,0.015874,-0.007409,-0.023323,0.026294,-0.021208,-0.015021,0.029804,-0.015109,-0.004472,0.031424,-0.009369,-0.016368,0.046610,0.015274,0.020432,0.014142,0.024494,0.009809,0.028625,0.042994,0.007916,-0.018381
0.001955,-0.004642,0.020402,-0.006265,-0.017592,0.019289,-0.004225,-0.004630,-0.012582,0.012526,-0.010833,-0.013565,-0.007237,0.011996,0.019127,-0.007656,0.000027,0.012597,-0.008804,-0.012155,0.013336,-0.008868,-0.018960,0.019047,-0.019842,-0.012052,0.021925,-0.012893,-0.000406,0.024726,-0.013273,-0.015418,0.038775,0.010207,0.025359,0.006643,0.013746,0.023510,0.025641,0.031704,0.012062,-0.004188
0.002162,-0.001869,0.012394,-0.008545,-0.017521,0.010948,-0.005240,-0.009851,-0.022102,0.007521,-0.010527,-0.022538,-0.008412,0.009092,0.010875,-0.009149,-0.008073,0.002372,-0.011301,-0.013633,0.002687,-0.008942,-0.013561,0.005313,-0.011246,-0.001636,0.008946,-0.000095,0.016434,0.015028,-0.007834,0.002842,0.029255,0.009947,0.031744,-0.007396,0.009193,0.035140,0.006655,0.023693,0.010820,0.000833
