body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.011706,0.014607,-0.001364,-0.009637,0.014626,-0.001313,-0.009179,0.014826,-0.001330,-0.004735,0.016082,-0.001997,-0.011778,0.014622,-0.001338,-0.019174,0.013966,-0.001170,-0.026171,0.014562,-0.000056,-0.012291,0.014561,-0.001431,-0.027493,0.013755,0.000498,-0.027316,0.016649,0.001209,-0.029294,0.022308,0.000936,-0.024665,0.013640,-0.001349,-0.027084,0.012284,-0.001346,-0.025230,0.011592,-0.000867
-0.010867,0.011610,-0.001510,-0.009366,0.011688,-0.001416,-0.008346,0.011629,-0.001472,-0.004700,0.012200,-0.002031,-0.010535,0.011688,-0.001534,-0.017971,0.010976,-0.001361,-0.025144,0.011333,-0.000193,-0.011405,0.011534,-0.001571,-0.026161,0.010713,0.000315,-0.025990,0.013286,0.000946,-0.027508,0.018579,0.000787,-0.022769,0.010580,-0.001566,-0.024993,0.009974,-0.001679,-0.022716,0.010506,-0.001051
-0.008350,0.002621,-0.001947,-0.008553,0.002875,-0.001726,-0.005845,0.002041,-0.001898,-0.004596,0.000554,-0.002134,-0.006807,0.002888,-0.002121,-0.014363,0.002000,-0.001933,-0.022068,0.001638,-0.000607,-0.008746,0.002453,-0.001993,-0.022161,0.001585,-0.000225,-0.022008,0.003201,0.000168,-0.022144,0.007398,0.000350,-0.017081,0.001399,-0.002207,-0.018721,0.003040,-0.002669,-0.015173,0.007250,-0.001592
-0.005303,-0.002438,-0.002567,-0.006262,-0.002041,-0.002235,-0.002156,-0.003066,-0.002473,-0.004029,-0.005850,-0.002193,-0.003021,-0.002020,-0.002865,-0.009745,-0.002520,-0.002713,-0.016717,-0.002865,-0.001475,-0.005645,-0.002669,-0.002607,-0.017855,-0.003040,-0.001251,-0.018059,-0.002793,-0.001195,-0.017973,0.000205,-0.001020,-0.012068,-0.003245,-0.002647,-0.013511,-0.000502,-0.003284,-0.009952,0.005700,-0.002157
-0.003251,-0.001038,-0.003060,-0.003637,-0.000600,-0.002688,0.000876,-0.001137,-0.002910,-0.003283,-0.003807,-0.002175,-0.001070,-0.000581,-0.003395,-0.006425,-0.000323,-0.003308,-0.011767,0.000078,-0.002361,-0.003653,-0.001271,-0.003106,-0.015398,-0.000852,-0.002258,-0.016119,-0.001702,-0.002469,-0.017082,0.000593,-0.002643,-0.010237,-0.001033,-0.002672,-0.011967,0.001118,-0.003221,-0.009664,0.006631,-0.002471
-0.005434,0.002513,-0.002832,-0.006555,0.002822,-0.002583,-0.001625,0.002845,-0.002787,-0.003722,0.000887,-0.002423,-0.002659,0.002845,-0.003057,-0.006823,0.002948,-0.002983,-0.011197,0.002742,-0.002165,-0.005771,0.002312,-0.002870,-0.016300,0.003468,-0.002567,-0.016731,0.001737,-0.002991,-0.018531,0.003422,-0.003418,-0.010864,0.003281,-0.002096,-0.013305,0.006573,-0.002915,-0.012174,0.012974,-0.002531
-0.005323,0.005259,-0.002185,-0.007333,0.005442,-0.002059,-0.002250,0.005908,-0.002240,-0.001531,0.004722,-0.002392,-0.001950,0.005472,-0.002301,-0.005441,0.004932,-0.002201,-0.008930,0.003519,-0.001485,-0.005578,0.005084,-0.002214,-0.015055,0.006902,-0.002398,-0.014685,0.004264,-0.003043,-0.016272,0.004941,-0.003447,-0.008899,0.006695,-0.001165,-0.012027,0.010954,-0.002219,-0.012146,0.018093,-0.002225
0.003612,0.004247,-0.001422,0.001715,0.004475,-0.001252,0.006410,0.005076,-0.001403,0.007104,0.004192,-0.001534,0.006895,0.004507,-0.001578,0.003216,0.003268,-0.001430,0.001110,0.000802,-0.000917,0.003341,0.004045,-0.001454,-0.006154,0.006434,-0.001972,-0.004770,0.002615,-0.002906,-0.004252,0.001401,-0.002831,0.000705,0.006208,-0.000123,-0.002637,0.009351,-0.000988,-0.004243,0.015354,-0.001451
0.007682,0.002760,-0.000810,0.006296,0.003033,-0.000598,0.010818,0.003379,-0.000754,0.012589,0.002840,-0.001084,0.010154,0.003060,-0.001014,0.006863,0.001276,-0.000843,0.007214,-0.001824,-0.000749,0.007481,0.002577,-0.000834,0.000085,0.005159,-0.001656,0.001291,0.001602,-0.002526,0.001366,0.000251,-0.002568,0.004883,0.005001,0.000644,0.000350,0.007183,-0.000153,-0.003364,0.011453,-0.001249
0.004850,0.001542,-0.000654,0.004119,0.001837,-0.000424,0.008771,0.001666,-0.000617,0.012184,0.001347,-0.001265,0.006199,0.001855,-0.000892,0.003678,-0.000048,-0.000734,0.006329,-0.003048,-0.001061,0.004771,0.001412,-0.000664,0.000544,0.003715,-0.001610,0.000466,0.001729,-0.002094,-0.002229,0.002061,-0.002790,0.001546,0.003677,0.000753,-0.004559,0.005533,-0.000127,-0.009950,0.008342,-0.001716
