body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
0.046256,-0.010303,0.783686,0.047009,0.106974,0.651317,0.031931,0.126267,0.346063,-0.027008,0.139423,0.034523,0.047844,-0.125925,0.649833,0.041350,-0.142344,0.344181,-0.011877,-0.153788,0.031639,0.041306,-0.010417,0.827586,0.064885,0.129700,1.071696,0.064382,0.173376,0.892693,0.113141,0.183258,0.715213,0.055259,-0.151233,1.072095,0.072190,-0.183839,0.891617,0.126964,-0.183684,0.715691
0.046022,-0.010011,0.783659,0.046816,0.107267,0.651290,0.031748,0.126563,0.346037,-0.027102,0.139745,0.034483,0.047608,-0.125633,0.649806,0.040966,-0.142065,0.344157,-0.012400,-0.153497,0.031638,0.041061,-0.010126,0.827557,0.064336,0.129975,1.071706,0.063835,0.173709,0.892717,0.112555,0.183704,0.715232,0.054766,-0.150961,1.072068,0.071648,-0.183593,0.891590,0.126460,-0.183452,0.715674
0.045821,-0.009838,0.783626,0.046634,0.107442,0.651260,0.031598,0.126732,0.346005,-0.027196,0.139911,0.034441,0.047422,-0.125458,0.649771,0.040631,-0.141905,0.344126,-0.012883,-0.153335,0.031631,0.040850,-0.009955,0.827523,0.063839,0.130129,1.071709,0.063342,0.173908,0.892731,0.112041,0.184001,0.715244,0.054348,-0.150810,1.072033,0.071190,-0.183440,0.891550,0.126056,-0.183263,0.715649
0.045688,-0.009906,0.783581,0.046474,0.107382,0.651221,0.031514,0.126645,0.345961,-0.027286,0.139767,0.034397,0.047336,-0.125517,0.649721,0.040392,-0.141985,0.344080,-0.013283,-0.153431,0.031613,0.040711,-0.010027,0.827478,0.063449,0.130039,1.071697,0.062955,0.173837,0.892724,0.111670,0.184000,0.715246,0.054083,-0.150905,1.071980,0.070899,-0.183472,0.891483,0.125853,-0.183162,0.715610
0.045609,-0.009936,0.783523,0.046384,0.107360,0.651171,0.031511,0.126609,0.345906,-0.027357,0.139677,0.034354,0.047301,-0.125539,0.649657,0.040241,-0.142006,0.344018,-0.013551,-0.153449,0.031572,0.040624,-0.010062,0.827419,0.063125,0.130007,1.071659,0.062620,0.173796,0.892683,0.111322,0.184009,0.715204,0.053866,-0.150940,1.071927,0.070650,-0.183460,0.891419,0.125658,-0.183035,0.715563
0.045557,-0.009947,0.783459,0.046328,0.107358,0.651114,0.031549,0.126600,0.345844,-0.027417,0.139614,0.034310,0.047293,-0.125541,0.649585,0.040135,-0.141998,0.343948,-0.013754,-0.153428,0.031519,0.040565,-0.010078,0.827353,0.062833,0.130005,1.071607,0.062310,0.173769,0.892625,0.110986,0.184024,0.715140,0.053673,-0.150946,1.071873,0.070421,-0.183427,0.891355,0.125466,-0.182897,0.715511
0.045391,-0.009835,0.783410,0.046121,0.107473,0.651067,0.031446,0.126723,0.345794,-0.027506,0.139712,0.034257,0.047195,-0.125425,0.649534,0.039968,-0.141888,0.343899,-0.013999,-0.153340,0.031485,0.040394,-0.009970,0.827304,0.062473,0.130146,1.071556,0.061950,0.173866,0.892564,0.110581,0.184146,0.715067,0.053431,-0.150809,1.071843,0.070117,-0.183197,0.891302,0.125171,-0.182516,0.715462
0.045345,-0.009737,0.783371,0.046035,0.107576,0.651032,0.031459,0.126836,0.345755,-0.027479,0.139803,0.034215,0.047215,-0.125322,0.649493,0.039917,-0.141801,0.343860,-0.014111,-0.153287,0.031460,0.040341,-0.009875,0.827265,0.062231,0.130281,1.071511,0.061723,0.173940,0.892504,0.110335,0.184221,0.715002,0.053317,-0.150678,1.071827,0.069939,-0.182989,0.891266,0.124980,-0.182173,0.715422
0.045536,-0.009665,0.783353,0.046190,0.107652,0.651017,0.031703,0.126926,0.345738,-0.027221,0.139880,0.034195,0.047471,-0.125244,0.649471,0.040097,-0.141758,0.343841,-0.013955,-0.153308,0.031449,0.040527,-0.009808,0.827246,0.062227,0.130403,1.071477,0.061760,0.173970,0.892447,0.110411,0.184202,0.714954,0.053459,-0.150560,1.071838,0.070012,-0.182823,0.891263,0.125001,-0.181902,0.715404
0.045652,-0.009626,0.783339,0.046287,0.107697,0.651008,0.031892,0.126971,0.345725,-0.026975,0.139917,0.034171,0.047621,-0.125199,0.649453,0.040192,-0.141750,0.343826,-0.013822,-0.153360,0.031430,0.040641,-0.009772,0.827232,0.062234,0.130487,1.071444,0.061774,0.174004,0.892403,0.110390,0.184231,0.714899,0.053513,-0.150478,1.071852,0.069953,-0.182701,0.891260,0.124846,-0.181715,0.715372
0.045730,-0.009604,0.783327,0.046355,0.107726,0.651000,0.032054,0.126993,0.345713,-0.026734,0.139934,0.034145,0.047719,-0.125170,0.649436,0.040244,-0.141760,0.343812,-0.013702,-0.153430,0.031406,0.040718,-0.009751,0.827219,0.062248,0.130552,1.071413,0.061778,0.174039,0.892364,0.110321,0.184285,0.714842,0.053521,-0.150413,1.071868,0.069830,-0.182602,0.891257,0.124603,-0.181569,0.715335
0.045835,-0.009411,0.783329,0.046416,0.107924,0.651006,0.032290,0.127183,0.345711,-0.026371,0.140093,0.034118,0.047864,-0.124971,0.649434,0.040292,-0.141600,0.343815,-0.013660,-0.153346,0.031414,0.040825,-0.009561,0.827222,0.062304,0.130796,1.071389,0.061826,0.174252,0.892332,0.110345,0.184511,0.714806,0.053633,-0.150171,1.071900,0.069819,-0.182352,0.891277,0.124437,-0.181337,0.715307
0.045887,-0.009291,0.783325,0.046429,0.108050,0.651006,0.032449,0.127293,0.345704,-0.026113,0.140168,0.034090,0.047951,-0.124845,0.649425,0.040295,-0.141516,0.343811,-0.013652,-0.153338,0.031412,0.040880,-0.009445,0.827218,0.062322,0.130965,1.071358,0.061841,0.174395,0.892295,0.110329,0.184681,0.714762,0.053695,-0.150003,1.071925,0.069755,-0.182170,0.891288,0.124206,-0.181176,0.715266
0.045835,-0.009318,0.783307,0.046344,0.108028,0.650993,0.032453,0.127243,0.345686,-0.026068,0.140073,0.034063,0.047924,-0.124866,0.649402,0.040209,-0.141585,0.343792,-0.013713,-0.153484,0.031391,0.040831,-0.009475,0.827201,0.062261,0.130986,1.071312,0.061793,0.174400,0.892245,0.110233,0.184739,0.714704,0.053658,-0.149983,1.071934,0.069581,-0.182124,0.891280,0.123844,-0.181155,0.715202
0.045903,-0.009287,0.783284,0.046397,0.108066,0.650974,0.032564,0.127238,0.345661,-0.025924,0.140021,0.034031,0.048003,-0.124828,0.649373,0.040239,-0.141595,0.343767,-0.013703,-0.153551,0.031372,0.040899,-0.009446,0.827177,0.062348,0.131056,1.071263,0.061854,0.174430,0.892186,0.110246,0.184769,0.714633,0.053749,-0.149913,1.071932,0.069523,-0.182020,0.891259,0.123585,-0.181085,0.715118
0.046031,-0.009225,0.783256,0.046517,0.108133,0.650951,0.032729,0.127256,0.345634,-0.025730,0.139990,0.033997,0.048136,-0.124761,0.649342,0.040326,-0.141574,0.343739,-0.013659,-0.153580,0.031353,0.041027,-0.009386,0.827150,0.062509,0.131151,1.071213,0.061970,0.174472,0.892123,0.110313,0.184784,0.714555,0.053906,-0.149818,1.071923,0.069523,-0.181888,0.891230,0.123378,-0.180991,0.715026
