joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.012397,0.038222,0.016888,0.001712,-0.014446,0.006256,0.005991,-0.046270,-0.039548,-0.010655,-0.001921,0.048245,0.069332,-0.042693,0.017195,0.009805,-0.010384,0.005675,0.029226,-0.008475,-0.033963,0.013038,-0.029264,0.043980,-0.007716,0.023443,0.032841,-0.103691,0.047047
0.009014,0.037552,0.014345,-0.000500,-0.015079,0.005949,0.001436,-0.046738,-0.037838,-0.006437,-0.001337,0.045108,0.065857,-0.037565,0.013436,0.007734,-0.006774,0.008619,0.026914,-0.005510,-0.032554,0.011513,-0.030720,0.048126,0.005080,0.019989,0.027600,-0.098652,0.043519
-0.001135,0.035544,0.006716,-0.007138,-0.016976,0.005027,-0.012228,-0.048140,-0.032707,0.006219,0.000414,0.035695,0.055433,-0.022178,0.002158,0.001521,0.004055,0.017452,0.019979,0.003386,-0.028326,0.006938,-0.035088,0.060563,0.043469,0.009627,0.011877,-0.083536,0.032935
-0.007887,0.031928,0.002345,-0.011611,-0.015761,0.001840,-0.024454,-0.044968,-0.028008,0.020675,0.001223,0.031137,0.048330,-0.015683,-0.008434,-0.004499,0.010928,0.025227,0.013288,0.009526,-0.016491,0.004470,-0.034019,0.070074,0.069249,0.010217,-0.001406,-0.055875,0.020988
-0.007864,0.028513,0.003417,-0.011682,-0.012042,-0.002019,-0.029128,-0.038808,-0.026091,0.029704,0.000686,0.033713,0.048100,-0.021326,-0.013045,-0.007315,0.010408,0.028057,0.010185,0.009841,-0.002965,0.005342,-0.028047,0.071905,0.069530,0.021463,-0.005608,-0.029499,0.013651
-0.011105,0.023211,-0.000693,-0.008807,-0.008900,-0.004201,-0.030115,-0.029107,-0.022367,0.024216,0.001453,0.026408,0.047100,-0.017470,-0.016896,-0.008554,0.019463,0.024072,0.006846,0.005050,-0.001987,0.012809,-0.025686,0.028943,0.060527,0.015810,-0.003478,-0.004309,0.004026
-0.013819,0.019278,-0.003855,-0.006029,-0.007219,-0.005909,-0.030053,-0.018846,-0.018806,0.015316,0.000643,0.015742,0.046102,-0.012084,-0.018767,-0.010209,0.026950,0.018767,0.004069,-0.000019,-0.001144,0.018058,-0.023051,-0.014265,0.051157,0.004387,-0.001016,0.012913,-0.002751
-0.012214,0.019969,0.000062,-0.006391,-0.007883,-0.008345,-0.031580,-0.011007,-0.017383,0.014108,-0.004623,0.008231,0.045874,-0.013134,-0.017436,-0.014279,0.021731,0.017636,0.002652,-0.000540,0.011973,0.012280,-0.016256,-0.013174,0.050337,-0.001676,-0.004223,0.015387,-0.001545
-0.012941,0.016648,-0.001134,-0.008311,-0.009262,-0.010314,-0.033094,-0.007321,-0.014718,0.009628,-0.011511,0.006867,0.046406,-0.009652,-0.012250,-0.011369,0.018119,0.015062,0.000463,0.000403,0.018213,0.013842,-0.006720,-0.013967,0.033522,-0.008165,-0.014200,0.012973,-0.003958
-0.015636,0.010976,-0.006847,-0.010828,-0.010667,-0.010831,-0.033839,-0.009631,-0.012143,0.004116,-0.016575,0.012332,0.047431,-0.003378,-0.005802,-0.002935,0.017921,0.012332,-0.001404,0.002338,0.014454,0.021964,0.000789,-0.016249,0.009118,-0.011835,-0.025959,0.006878,-0.008784
-0.025351,0.011782,-0.010574,-0.010715,-0.009360,-0.011533,-0.031475,-0.004664,-0.009018,0.005307,-0.016608,0.008963,0.043417,0.000474,-0.006453,-0.000167,0.014436,0.011737,0.000918,0.010147,0.007533,0.019732,0.008794,-0.022810,-0.018801,-0.016583,-0.018641,-0.002831,-0.006095
-0.031636,0.013343,-0.011878,-0.010046,-0.007859,-0.012091,-0.027401,0.001334,-0.005979,0.008349,-0.014840,0.002376,0.038902,0.000318,-0.007270,0.000451,0.012064,0.011788,0.004816,0.018730,0.000666,0.017754,0.015993,-0.031863,-0.034719,-0.022682,-0.008556,-0.010351,0.001545
-0.024037,0.009937,-0.010321,-0.010895,-0.008679,-0.012176,-0.023015,0.002114,-0.003662,0.008392,-0.014499,-0.001813,0.038422,-0.005436,-0.001322,0.002435,0.015200,0.010996,0.007680,0.022982,-0.002934,0.026639,0.021081,-0.041619,-0.023121,-0.030402,-0.012013,-0.009880,0.011572
-0.015557,0.007538,-0.007433,-0.012712,-0.009736,-0.011378,-0.020138,0.000345,0.000785,0.006485,-0.009671,-0.001337,0.037612,-0.008097,0.001720,-0.000532,0.017715,0.010239,0.008405,0.023267,-0.008511,0.024370,0.024535,-0.044790,0.002073,-0.028928,-0.009646,-0.006441,0.013150
-0.010433,0.007346,-0.004657,-0.014588,-0.010502,-0.010096,-0.020209,-0.003087,0.005138,0.003581,-0.002769,0.003566,0.036878,-0.006336,0.000338,-0.006965,0.018351,0.009894,0.006629,0.019441,-0.013277,0.012082,0.024629,-0.039791,0.028266,-0.018996,-0.002638,-0.001754,0.005490
-0.006688,0.001315,-0.005691,-0.012531,-0.009196,-0.006743,-0.013391,-0.005487,0.007785,0.001858,0.000131,0.002673,0.027716,-0.005110,0.003581,-0.005904,0.009440,0.009086,0.003098,0.017110,-0.010450,0.004521,0.016591,-0.039732,0.059620,-0.012225,-0.005547,0.003816,-0.005143
-0.002959,-0.005323,-0.007376,-0.009481,-0.007067,-0.003831,-0.006228,-0.005932,0.008984,-0.001695,-0.000129,-0.001483,0.018709,-0.004126,0.007174,-0.000198,-0.001501,0.007780,-0.001134,0.012990,-0.005664,-0.000963,0.006013,-0.037653,0.082752,-0.008484,-0.009883,0.007395,-0.011472
0.002119,-0.007335,-0.006548,-0.008378,-0.005363,-0.003872,-0.005264,-0.003497,0.008993,-0.010088,-0.002704,-0.006372,0.018442,-0.003089,0.006839,0.007302,-0.006951,0.005943,-0.005013,0.003796,-0.004552,-0.007021,-0.001512,-0.026592,0.084282,-0.007644,-0.007157,0.006109,-0.006221
0.004433,-0.011273,-0.006293,-0.007947,-0.003592,-0.003420,-0.000304,0.004704,0.009447,-0.012434,-0.000576,-0.010150,0.015162,0.002390,0.006700,0.012191,-0.012771,0.005100,-0.009245,-0.004554,0.001014,-0.016515,-0.002950,-0.019290,0.071895,-0.005006,-0.003290,0.007827,-0.011472
0.002825,-0.015167,-0.006740,-0.008404,-0.002641,-0.002702,0.006171,0.014571,0.010120,-0.007560,0.005190,-0.010928,0.010510,0.009570,0.006828,0.012025,-0.016050,0.005674,-0.011714,-0.007885,0.008251,-0.024696,0.002418,-0.019399,0.051784,-0.001890,-0.000217,0.011690,-0.024599
0.000333,-0.021000,-0.003685,-0.005367,0.000568,-0.002424,0.014237,0.024640,0.004878,-0.015355,0.006598,-0.014553,0.004824,0.013257,0.010126,0.015461,-0.017588,0.006223,-0.011868,-0.002566,0.007705,-0.019932,-0.002607,-0.009650,0.025653,-0.008871,-0.000319,0.024703,-0.022362
-0.003084,-0.026215,-0.001151,-0.002419,0.002751,-0.002183,0.019690,0.029528,0.001043,-0.021116,0.006873,-0.017466,-0.001632,0.014118,0.012345,0.017834,-0.018045,0.007153,-0.010306,0.002011,0.004348,-0.013428,-0.007322,0.000211,0.001044,-0.014516,-0.002035,0.034680,-0.015320
-0.007464,-0.028257,-0.003160,-0.003144,0.000625,-0.001577,0.018326,0.023853,0.005937,-0.010137,0.009239,-0.016110,-0.008599,0.012820,0.009232,0.014479,-0.018080,0.008868,-0.007626,-0.003548,0.003156,-0.016394,-0.001023,0.000439,-0.014502,-0.007393,-0.003806,0.029435,-0.014033
-0.012180,-0.029584,-0.004519,-0.003810,-0.001403,-0.002608,0.015642,0.023159,0.008972,-0.007223,0.007389,-0.014838,-0.010941,0.012453,0.006682,0.012277,-0.016837,0.010505,-0.007778,-0.006794,0.002005,-0.011218,0.004941,-0.004469,-0.017429,-0.003881,-0.008731,0.029834,-0.013068
-0.014873,-0.029532,-0.004546,-0.004083,-0.002321,-0.004762,0.012979,0.027792,0.008629,-0.013830,0.002246,-0.014287,-0.007487,0.013198,0.005972,0.012329,-0.014939,0.011247,-0.010686,-0.006104,0.001470,-0.000489,0.007589,-0.012059,-0.006275,-0.005736,-0.014349,0.035679,-0.012909
-0.016498,-0.026582,-0.006531,-0.004846,-0.001256,-0.004937,0.011034,0.030038,0.009577,-0.011470,0.004389,-0.010164,-0.003864,0.009920,0.001449,0.007388,-0.009035,0.006639,-0.011969,0.003741,0.001926,0.005078,0.010160,-0.026768,0.016435,-0.011130,-0.012607,0.028336,-0.025927
-0.015312,-0.024330,-0.008127,-0.004444,0.001893,-0.004681,0.010459,0.031040,0.010931,-0.006274,0.007143,-0.005024,-0.001004,0.005750,0.000361,0.003779,-0.003724,0.000785,-0.012108,0.011716,0.001016,0.010492,0.009939,-0.038086,0.032552,-0.016169,-0.006851,0.018266,-0.036833
-0.009571,-0.026368,-0.006990,-0.001220,0.007228,-0.005540,0.011904,0.031940,0.011804,-0.004376,0.003836,-0.001421,0.000162,0.003822,0.009954,0.007823,-0.003602,-0.002217,-0.011586,0.006792,-0.003615,0.020762,0.004208,-0.035506,0.023923,-0.016958,-0.000428,0.015932,-0.030335
-0.003439,-0.026794,-0.005440,0.003151,0.009550,-0.006505,0.019890,0.031090,0.012321,-0.008134,0.000884,0.002002,0.005593,0.002975,0.014343,0.007376,0.003556,-0.003174,-0.007910,0.001539,-0.003064,0.026899,0.006750,-0.029845,0.018864,-0.014411,-0.001445,0.013260,-0.025568
0.000017,-0.025394,-0.004253,0.006483,0.007697,-0.007092,0.030423,0.028915,0.012224,-0.015670,-0.000237,0.003533,0.012573,0.003632,0.011334,0.002660,0.014171,-0.001607,-0.002918,-0.001417,0.002394,0.025834,0.016293,-0.023934,0.019905,-0.009801,-0.009394,0.011585,-0.024916
0.000049,-0.025646,-0.006376,0.008412,0.009423,-0.005549,0.033723,0.028541,0.011299,-0.015326,0.001322,0.003384,0.007849,0.004940,0.010111,0.005987,0.021565,-0.002247,-0.003924,-0.011014,-0.004135,0.030658,0.015480,-0.015836,0.008127,-0.008201,-0.013480,0.004981,-0.020128
-0.001623,-0.026543,-0.008263,0.008874,0.012009,-0.004171,0.032254,0.028832,0.010673,-0.013317,0.001728,0.001349,0.000171,0.006292,0.010364,0.009182,0.027171,-0.003087,-0.006130,-0.017227,-0.016753,0.040230,0.012795,-0.009873,-0.003106,-0.009744,-0.012724,-0.000720,-0.015698
-0.003281,-0.027080,-0.006372,0.007806,0.012735,-0.005254,0.028478,0.028656,0.011471,-0.015859,-0.002849,-0.002775,-0.001709,0.007081,0.011784,0.004071,0.032422,-0.002117,-0.004743,-0.010028,-0.029561,0.053412,0.016726,-0.010364,-0.000428,-0.014560,-0.006145,0.000313,-0.016120
-0.005940,-0.025426,-0.008278,0.007351,0.012795,-0.007627,0.023837,0.027034,0.013232,-0.023169,-0.007273,-0.004482,-0.000300,0.010323,0.011084,0.002796,0.036946,-0.003266,-0.003614,-0.009329,-0.037550,0.051963,0.017960,-0.004823,-0.002279,-0.016299,-0.003367,0.004855,-0.015676
-0.008273,-0.022409,-0.013030,0.007737,0.012159,-0.010104,0.020651,0.024777,0.015077,-0.031592,-0.009333,-0.002919,0.003694,0.014397,0.008615,0.005993,0.038482,-0.005959,-0.003308,-0.015480,-0.036726,0.036607,0.015879,0.003980,-0.007734,-0.014094,-0.005778,0.010634,-0.014590
-0.007895,-0.025137,-0.013763,0.007634,0.012000,-0.009771,0.017550,0.015967,0.019582,-0.030398,-0.009535,-0.012723,-0.003532,0.013592,0.012471,0.009049,0.042955,-0.005497,-0.003835,-0.010723,-0.032455,0.031920,0.029537,0.003169,-0.006519,-0.021442,-0.003860,0.013686,-0.003407
-0.008356,-0.029391,-0.012565,0.006822,0.011798,-0.008472,0.015793,0.009533,0.024021,-0.028590,-0.009157,-0.025980,-0.012154,0.014414,0.016803,0.011908,0.046924,-0.004296,-0.004425,-0.008021,-0.027444,0.029174,0.044904,-0.003159,-0.002591,-0.028534,-0.001499,0.017027,0.007296
-0.013205,-0.030952,-0.011523,0.005081,0.011037,-0.008052,0.016642,0.014407,0.025670,-0.035170,-0.009477,-0.034771,-0.012354,0.023370,0.015764,0.014518,0.046949,-0.004771,-0.004308,-0.020336,-0.024398,0.019641,0.047953,-0.010906,0.000092,-0.025561,-0.002580,0.023676,0.006945
-0.021170,-0.033830,-0.010280,0.003499,0.009076,-0.008056,0.009811,0.015146,0.027928,-0.037213,-0.013484,-0.039632,-0.009892,0.030046,0.019344,0.013086,0.042496,-0.003658,-0.004010,-0.022777,-0.017500,0.011883,0.049398,-0.014663,0.002259,-0.021484,-0.003953,0.021284,0.013445
-0.028271,-0.036586,-0.009456,0.002866,0.006895,-0.008482,-0.001284,0.011380,0.029666,-0.033698,-0.019175,-0.038132,-0.005999,0.031103,0.025754,0.008327,0.035790,-0.001513,-0.003679,-0.014123,-0.010198,0.009781,0.048517,-0.012552,0.002826,-0.018342,-0.004932,0.011047,0.023546
-0.036124,-0.045278,-0.005227,0.001238,0.005014,-0.009541,-0.006747,0.006482,0.032071,-0.027639,-0.020469,-0.039168,-0.005213,0.036273,0.029489,0.005051,0.035571,0.000301,-0.003968,-0.012762,-0.000691,0.013717,0.040597,0.000163,0.002912,-0.019884,-0.015607,0.009303,0.017538
-0.045468,-0.055156,-0.000908,-0.000726,0.002974,-0.010092,-0.007885,0.003716,0.036224,-0.020728,-0.018886,-0.041579,-0.010956,0.043725,0.031525,0.004694,0.034998,0.002918,-0.004165,-0.013777,0.006620,0.016573,0.035391,0.013799,0.001765,-0.023553,-0.023057,0.006430,0.006132
-0.057041,-0.061470,0.000189,-0.002369,0.000315,-0.008997,-0.006007,0.006345,0.043206,-0.014657,-0.015951,-0.044202,-0.026651,0.051627,0.032834,0.008688,0.027225,0.007468,-0.003560,-0.012253,0.007334,0.011229,0.042648,0.018673,-0.001370,-0.026791,-0.014357,-0.007195,0.000043
-0.068488,-0.069721,-0.000921,-0.004331,-0.002562,-0.008017,-0.003622,0.007731,0.051062,-0.012141,-0.018369,-0.046090,-0.043826,0.057438,0.038063,0.006955,0.015218,0.011614,-0.001968,-0.008837,0.010122,0.005792,0.044759,0.014442,-0.007486,-0.027826,-0.005805,-0.017849,-0.009160
-0.074086,-0.075782,-0.003682,-0.005630,-0.004218,-0.007643,-0.001921,0.007182,0.055864,-0.014437,-0.024930,-0.046297,-0.053894,0.058253,0.044597,0.000362,0.004979,0.013283,-0.000185,-0.005238,0.013588,0.002979,0.040668,0.003222,-0.013525,-0.026141,-0.001676,-0.020206,-0.016874
-0.085013,-0.085590,-0.002700,-0.009208,-0.006682,-0.009143,-0.002799,0.005565,0.064195,-0.012804,-0.017578,-0.045611,-0.068107,0.060432,0.043808,0.000897,-0.001542,0.017905,-0.002600,0.002242,0.000934,0.001367,0.034198,0.012828,-0.004137,-0.021817,-0.001170,-0.022599,-0.029085
-0.096672,-0.096249,-0.002135,-0.013646,-0.008880,-0.010527,-0.004979,0.004253,0.073227,-0.013556,-0.011183,-0.045633,-0.078558,0.063646,0.045112,0.002107,-0.005913,0.021168,-0.006371,0.008936,-0.014517,-0.003146,0.024821,0.018163,0.008490,-0.016524,-0.003926,-0.023578,-0.038731
-0.104468,-0.104862,-0.006146,-0.017520,-0.009737,-0.009806,-0.007183,0.004621,0.080128,-0.023008,-0.020618,-0.047962,-0.077344,0.067565,0.057926,-0.002458,-0.009702,0.018759,-0.008661,0.010180,-0.019442,-0.014664,0.012007,-0.005872,0.012167,-0.011931,-0.009584,-0.021691,-0.038753
-0.116971,-0.116160,-0.007278,-0.020085,-0.010719,-0.009178,-0.002269,0.003384,0.090166,-0.030136,-0.024688,-0.058483,-0.085948,0.070349,0.064903,-0.003039,-0.013480,0.015795,-0.012314,0.001348,-0.019323,-0.023531,0.001614,-0.003570,0.021456,-0.018067,-0.015451,-0.019794,-0.037416
-0.127930,-0.124493,-0.004964,-0.020059,-0.011334,-0.008956,0.007306,0.001162,0.098322,-0.031376,-0.021359,-0.071936,-0.100068,0.070608,0.062555,0.000655,-0.015358,0.013758,-0.015504,-0.013144,-0.014221,-0.025314,-0.001162,0.023918,0.031712,-0.031863,-0.018593,-0.018835,-0.035388
