body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
0.000162,-0.013283,-0.005840,0.001856,-0.000886,-0.005556,0.003393,-0.011960,-0.000508,0.017992,-0.052332,-0.004077,-0.014099,0.024937,-0.007801,-0.007331,0.019450,-0.053263,0.023888,0.032741,-0.053600,0.004441,-0.053156,0.011206,0.021288,-0.007273,0.023147,0.027377,0.006456,0.019024,-0.015904,0.102097,-0.026230,-0.007109,0.013623,-0.008315,0.010505,-0.021351,-0.030169,0.017261,0.036178,-0.028311
0.000562,-0.012197,-0.001332,0.000070,-0.003172,-0.001336,0.001262,-0.009609,-0.000455,0.017634,-0.044365,-0.003650,-0.014319,0.025374,-0.003388,-0.007418,0.020413,-0.049353,0.021014,0.030250,-0.049532,0.004671,-0.050318,0.013179,0.021771,-0.007446,0.024229,0.027286,0.003942,0.022425,-0.013427,0.094203,-0.027243,-0.004541,0.013111,-0.005319,0.013862,-0.022397,-0.025420,0.026003,0.027148,-0.034149
0.001808,-0.009039,0.012243,-0.005289,-0.010156,0.011365,-0.005124,-0.002764,-0.000190,0.016612,-0.020639,-0.002256,-0.014959,0.026532,0.009895,-0.007643,0.023154,-0.037577,0.012440,0.022704,-0.037263,0.005380,-0.041954,0.019124,0.021251,-0.008103,0.027663,0.025037,-0.003766,0.032799,-0.007986,0.070399,-0.030115,0.004584,0.011351,0.003739,0.025411,-0.025795,-0.011059,0.053645,-0.000191,-0.051531
0.002879,-0.007861,0.019060,-0.008661,-0.015750,0.017592,-0.010063,0.007044,-0.004852,0.017893,-0.002845,-0.006493,-0.012686,0.024081,0.016883,-0.005761,0.021758,-0.027511,0.006297,0.011698,-0.026727,0.003574,-0.035952,0.021486,0.019642,-0.006499,0.028736,0.022606,-0.006434,0.038834,0.012207,0.049891,-0.029775,0.007876,0.010428,0.008211,0.027870,-0.021389,0.003984,0.065512,-0.017204,-0.057488
0.003218,-0.009200,0.015709,-0.008368,-0.017068,0.014231,-0.011095,0.015025,-0.012121,0.020813,0.000229,-0.014255,-0.008676,0.019308,0.014081,-0.002764,0.016944,-0.024200,0.005608,0.002705,-0.023210,0.000128,-0.035225,0.019118,0.020824,-0.003401,0.026684,0.024255,-0.002741,0.037312,0.040135,0.042887,-0.026594,0.002931,0.010963,0.005869,0.019222,-0.011180,0.012187,0.054907,-0.015188,-0.049017
0.002254,-0.007718,0.021153,-0.006472,-0.018816,0.020002,-0.007914,0.008045,-0.007733,0.019295,-0.003850,-0.009491,-0.006560,0.015485,0.019965,-0.002013,0.014624,-0.008801,0.002555,-0.002992,-0.007653,-0.002782,-0.029886,0.020382,0.023963,-0.005247,0.025378,0.030853,0.003232,0.033742,0.047187,0.021162,0.011122,0.008624,0.015211,0.007628,0.023526,-0.004771,0.014093,0.048431,-0.013073,-0.040663
0.001230,-0.005938,0.027397,-0.004735,-0.019740,0.026567,-0.004292,-0.001555,-0.001840,0.016604,-0.009348,-0.003083,-0.005934,0.013360,0.026439,-0.003032,0.012515,0.007822,-0.001463,-0.006595,0.009023,-0.005311,-0.024475,0.023408,0.026391,-0.010254,0.024984,0.035592,0.004371,0.030204,0.043004,-0.003760,0.046365,0.013684,0.019547,0.011115,0.027057,0.001851,0.017488,0.042729,-0.008383,-0.030230
0.001542,-0.006285,0.026400,-0.004790,-0.018490,0.025531,-0.003888,-0.001331,-0.004505,0.016105,-0.010393,-0.005811,-0.006301,0.013685,0.025347,-0.005268,0.008239,0.014780,-0.004929,-0.009349,0.015873,-0.007453,-0.023361,0.026302,0.025468,-0.016370,0.025688,0.031681,-0.006225,0.028759,0.037202,-0.020137,0.042202,0.006835,0.020518,0.013943,0.016066,0.012937,0.030240,0.034406,0.001620,-0.015473
0.001962,-0.004615,0.020410,-0.006248,-0.017575,0.019298,-0.004206,-0.004615,-0.012579,0.012532,-0.010819,-0.013561,-0.007243,0.012000,0.019133,-0.007663,0.000016,0.012599,-0.008820,-0.012140,0.013337,-0.008848,-0.018941,0.019064,0.030152,-0.013402,0.017543,0.037228,-0.002329,0.021935,0.036607,-0.019124,0.033773,0.002572,0.025484,0.006478,0.006170,0.027449,0.025466,0.023981,0.010187,-0.001521
0.002204,-0.001839,0.012421,-0.008500,-0.017505,0.010975,-0.005198,-0.009828,-0.022060,0.007580,-0.010496,-0.022497,-0.008353,0.009122,0.010905,-0.009088,-0.008045,0.002383,-0.011239,-0.013627,0.002699,-0.008894,-0.013537,0.005338,0.039071,-0.002987,0.004550,0.050412,0.013945,0.013093,0.042451,-0.001373,0.025288,0.003305,0.031859,-0.007528,0.002607,0.038006,0.005555,0.016965,0.012933,0.004665
