body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
0.999932,0.003107,-0.011249,-0.000279,0.996659,0.054408,-0.060848,0.002699,0.988924,0.030628,0.094967,0.109872,0.994153,-0.007928,0.007480,0.107434,0.996319,-0.038773,-0.076360,-0.003690,0.993593,-0.023476,0.088184,-0.066676,0.997896,0.002709,-0.011815,-0.063698,0.999365,-0.000211,0.029433,-0.020094,0.980864,0.188878,0.040674,-0.023998,0.758933,0.282689,0.573286,-0.124301,0.719946,0.339621,0.574249,-0.191243,0.980471,-0.196062,-0.011524,-0.010165,0.747127,-0.324709,0.561800,0.144037,0.715456,-0.336240,0.569683,0.224783
0.999930,0.003108,-0.011382,-0.000337,0.996658,0.054423,-0.060860,0.002643,0.988935,0.030649,0.094845,0.109874,0.994162,-0.007805,0.006941,0.107390,0.996333,-0.038920,-0.076109,-0.003747,0.993538,-0.023514,0.088385,-0.067207,0.997864,0.002920,-0.011475,-0.064237,0.999383,-0.000159,0.028902,-0.019981,0.980833,0.189079,0.040652,-0.023749,0.758842,0.282780,0.573423,-0.124018,0.719363,0.339461,0.574864,-0.191870,0.980458,-0.196134,-0.011375,-0.010219,0.747324,-0.324491,0.561723,0.143802,0.715371,-0.335874,0.569998,0.224801
0.999929,0.003118,-0.011493,-0.000305,0.996656,0.054407,-0.060913,0.002676,0.988943,0.030632,0.094774,0.109871,0.994169,-0.007672,0.006561,0.107357,0.996347,-0.039066,-0.075852,-0.003716,0.993487,-0.023563,0.088603,-0.067660,0.997838,0.003078,-0.011188,-0.064694,0.999399,-0.000105,0.028429,-0.019828,0.980799,0.189289,0.040630,-0.023477,0.758789,0.282836,0.573540,-0.123670,0.718850,0.339379,0.575367,-0.192429,0.980455,-0.196154,-0.011247,-0.010217,0.747541,-0.324280,0.561590,0.143668,0.715474,-0.335357,0.570183,0.224773
0.999928,0.003147,-0.011562,-0.000092,0.996651,0.054331,-0.061050,0.002887,0.988944,0.030542,0.094801,0.109862,0.994172,-0.007519,0.006495,0.107344,0.996362,-0.039205,-0.075589,-0.003506,0.993443,-0.023631,0.088852,-0.067956,0.997821,0.003131,-0.011008,-0.064985,0.999414,-0.000046,0.028066,-0.019596,0.980772,0.189477,0.040608,-0.023158,0.758825,0.282793,0.573613,-0.123212,0.718492,0.339422,0.575641,-0.192873,0.980479,-0.196045,-0.011166,-0.010102,0.747810,-0.324061,0.561336,0.143754,0.715965,-0.334519,0.570099,0.224673
0.999927,0.003180,-0.011649,0.000076,0.996645,0.054255,-0.061207,0.003054,0.988946,0.030458,0.094933,0.109752,0.994186,-0.007322,0.006467,0.107229,0.996374,-0.039294,-0.075387,-0.003341,0.993408,-0.023658,0.089040,-0.068206,0.997805,0.003183,-0.010948,-0.065229,0.999428,-0.000032,0.027712,-0.019397,0.980744,0.189654,0.040621,-0.022873,0.758831,0.282750,0.573718,-0.122785,0.718078,0.339705,0.575929,-0.193055,0.980490,-0.196000,-0.011073,-0.010017,0.747951,-0.323970,0.561165,0.143902,0.716367,-0.333840,0.570027,0.224582
0.999926,0.003215,-0.011745,0.000222,0.996638,0.054180,-0.061374,0.003200,0.988949,0.030378,0.095116,0.109592,0.994206,-0.007103,0.006457,0.107064,0.996385,-0.039358,-0.075216,-0.003197,0.993378,-0.023666,0.089197,-0.068434,0.997791,0.003234,-0.010948,-0.065449,0.999441,-0.000040,0.027362,-0.019214,0.980708,0.189866,0.040652,-0.022605,0.758811,0.282740,0.573842,-0.122352,0.717622,0.340139,0.576231,-0.193084,0.980494,-0.195989,-0.010973,-0.009945,0.748025,-0.323943,0.561035,0.144080,0.716725,-0.333242,0.569962,0.224496
0.999925,0.003230,-0.011802,0.000499,0.996627,0.054150,-0.061560,0.003481,0.988953,0.030334,0.095104,0.109579,0.994210,-0.006945,0.006350,0.107043,0.996394,-0.039396,-0.075094,-0.002921,0.993369,-0.023703,0.089332,-0.068378,0.997794,0.003236,-0.011004,-0.065382,0.999452,-0.000087,0.027113,-0.018991,0.980668,0.190106,0.040625,-0.022336,0.758702,0.282823,0.574033,-0.121937,0.717556,0.340173,0.576491,-0.192496,0.980529,-0.195833,-0.010803,-0.009809,0.748116,-0.323790,0.560934,0.144345,0.717022,-0.332741,0.569894,0.224464
0.999924,0.003246,-0.011862,0.000770,0.996617,0.054117,-0.061739,0.003757,0.988958,0.030293,0.095093,0.109548,0.994216,-0.006792,0.006236,0.107003,0.996402,-0.039438,-0.074971,-0.002651,0.993365,-0.023757,0.089437,-0.068278,0.997801,0.003216,-0.011081,-0.065269,0.999463,-0.000150,0.026870,-0.018749,0.980627,0.190368,0.040557,-0.022054,0.758633,0.282922,0.574166,-0.121509,0.717552,0.340236,0.576658,-0.191897,0.980554,-0.195722,-0.010631,-0.009653,0.748129,-0.323729,0.560871,0.144657,0.717240,-0.332323,0.569852,0.224493
0.999923,0.003267,-0.011926,0.001027,0.996608,0.054084,-0.061901,0.004016,0.988967,0.030263,0.095084,0.109483,0.994226,-0.006646,0.006110,0.106928,0.996411,-0.039484,-0.074842,-0.002396,0.993372,-0.023845,0.089482,-0.068090,0.997813,0.003153,-0.011196,-0.065064,0.999474,-0.000241,0.026643,-0.018469,0.980596,0.190592,0.040413,-0.021749,0.758664,0.282988,0.574179,-0.121102,0.717697,0.340297,0.576632,-0.191324,0.980563,-0.195699,-0.010454,-0.009457,0.747987,-0.323851,0.560885,0.145062,0.717302,-0.332064,0.569865,0.224645
0.999922,0.003290,-0.011953,0.001178,0.996601,0.054015,-0.062068,0.004168,0.988997,0.030224,0.095003,0.109294,0.994248,-0.006565,0.005996,0.106734,0.996415,-0.039554,-0.074747,-0.002249,0.993379,-0.023932,0.089421,-0.068041,0.997816,0.003058,-0.011334,-0.065000,0.999480,-0.000330,0.026488,-0.018373,0.980530,0.190951,0.040374,-0.021635,0.758502,0.283241,0.574345,-0.120736,0.717652,0.340445,0.576754,-0.190860,0.980571,-0.195675,-0.010156,-0.009427,0.747788,-0.323843,0.561099,0.145285,0.717290,-0.331915,0.569900,0.224813
