joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.075509,0.044354,-0.039489,0.102882,-0.083976,-0.008710,0.202613,-0.116801,0.081087,0.149618,0.159683,0.031267,-0.088973,-0.166087,-0.196545,0.379976,-0.393266,-0.095706,0.065373,-0.477298,0.643397,1.116653,1.180198,0.185736,-0.125999,0.018058,-0.009443,-0.048459,0.121665
0.075757,0.045118,-0.039152,0.102916,-0.084265,-0.008585,0.202733,-0.117726,0.080296,0.149404,0.159645,0.032232,-0.087587,-0.166941,-0.196201,0.380261,-0.393528,-0.095592,0.065958,-0.477468,0.642718,1.116914,1.179612,0.186615,-0.126153,0.018527,-0.008786,-0.050533,0.122606
0.075870,0.045856,-0.038916,0.102862,-0.084579,-0.008472,0.202670,-0.118670,0.079574,0.149360,0.159630,0.033072,-0.086339,-0.167590,-0.196008,0.380564,-0.393693,-0.095361,0.066450,-0.477519,0.642095,1.117114,1.178969,0.187661,-0.125795,0.018857,-0.008339,-0.052405,0.123406
0.075712,0.046540,-0.038883,0.102630,-0.084944,-0.008384,0.202244,-0.119652,0.078988,0.149653,0.159661,0.033660,-0.085369,-0.167828,-0.196115,0.380821,-0.393609,-0.094894,0.066757,-0.477332,0.641585,1.117191,1.178209,0.189038,-0.124414,0.018912,-0.008311,-0.053874,0.123923
0.075554,0.047133,-0.038822,0.102397,-0.085209,-0.008398,0.201692,-0.120469,0.078453,0.150187,0.159679,0.034317,-0.084406,-0.168217,-0.196345,0.381143,-0.393563,-0.094352,0.066981,-0.477138,0.641435,1.117293,1.177608,0.190464,-0.123025,0.019266,-0.008395,-0.054640,0.124245
0.075397,0.047680,-0.038746,0.102163,-0.085425,-0.008464,0.201078,-0.121204,0.077944,0.150841,0.159689,0.035009,-0.083445,-0.168681,-0.196637,0.381582,-0.393538,-0.093772,0.067164,-0.476939,0.641466,1.117405,1.177087,0.191914,-0.121633,0.019770,-0.008535,-0.055054,0.124469
0.075110,0.048061,-0.038850,0.102045,-0.085565,-0.008566,0.200488,-0.121633,0.077559,0.151156,0.159737,0.035374,-0.082522,-0.168916,-0.197021,0.382162,-0.393148,-0.093389,0.067255,-0.476936,0.641356,1.117805,1.176581,0.191621,-0.120604,0.019898,-0.008534,-0.054812,0.124406
0.074845,0.048452,-0.038901,0.101922,-0.085714,-0.008701,0.199876,-0.121958,0.077192,0.151454,0.159715,0.035638,-0.081601,-0.169165,-0.197388,0.382822,-0.392818,-0.093021,0.067327,-0.476939,0.641420,1.118127,1.176165,0.191343,-0.119587,0.019946,-0.008576,-0.054538,0.124359
0.074622,0.048860,-0.038847,0.101789,-0.085881,-0.008900,0.199224,-0.122073,0.076863,0.151720,0.159552,0.035703,-0.080687,-0.169442,-0.197718,0.383468,-0.392614,-0.092684,0.067361,-0.476957,0.641835,1.118296,1.175930,0.191094,-0.118591,0.019831,-0.008703,-0.054197,0.124345
0.074327,0.049117,-0.038946,0.101590,-0.086085,-0.009113,0.198552,-0.122251,0.076603,0.151839,0.159254,0.035913,-0.079745,-0.169551,-0.197877,0.384375,-0.392399,-0.092419,0.067345,-0.476923,0.642149,1.118681,1.175896,0.190785,-0.118246,0.019619,-0.009144,-0.054019,0.124201
