joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.012400,0.038200,0.016850,0.001700,-0.014450,0.006250,0.006000,-0.046250,-0.039550,-0.010700,-0.001900,0.048250,0.069300,-0.042700,0.017200,0.014269,-0.013095,0.005700,0.029250,-0.008500,-0.033950,0.013050,-0.029300,0.043950,-0.007700,0.023450,0.032850,-0.103700,0.047050
0.009025,0.037550,0.014325,-0.000500,-0.015075,0.005950,0.001425,-0.046725,-0.037825,-0.006450,-0.001325,0.045125,0.065850,-0.037575,0.013425,0.014707,-0.010679,0.008625,0.026925,-0.005525,-0.032550,0.011525,-0.030725,0.048125,0.005100,0.019975,0.027600,-0.098650,0.043525
-0.001125,0.035550,0.006725,-0.007150,-0.016975,0.005025,-0.012225,-0.048150,-0.032700,0.006225,0.000400,0.035700,0.055450,-0.022175,0.002150,0.014008,-0.002023,0.017450,0.019975,0.003400,-0.028325,0.006925,-0.035075,0.060575,0.043475,0.009625,0.011875,-0.083525,0.032925
-0.007900,0.031925,0.002350,-0.011625,-0.015750,0.001850,-0.024450,-0.044975,-0.028025,0.020675,0.001225,0.031125,0.048325,-0.015675,-0.008425,0.014471,0.003240,0.025225,0.013275,0.009525,-0.016500,0.004475,-0.034025,0.070075,0.069250,0.010225,-0.001400,-0.055875,0.020975
-0.007875,0.028500,0.003425,-0.011675,-0.012025,-0.002000,-0.029150,-0.038800,-0.026100,0.029700,0.000700,0.033725,0.048100,-0.021325,-0.013050,0.019000,0.001755,0.028050,0.010175,0.009825,-0.002975,0.005350,-0.028050,0.071900,0.069525,0.021450,-0.005600,-0.029500,0.013650
-0.011100,0.023200,-0.000700,-0.008800,-0.008900,-0.004200,-0.030100,-0.029100,-0.022350,0.024225,0.001450,0.026425,0.047100,-0.017475,-0.016900,0.025477,0.010395,0.024075,0.006850,0.005050,-0.001975,0.012800,-0.025675,0.028925,0.060525,0.015800,-0.003475,-0.004300,0.004025
-0.013800,0.019300,-0.003875,-0.006025,-0.007225,-0.005925,-0.030050,-0.018850,-0.018800,0.015325,0.000650,0.015725,0.046100,-0.012100,-0.018775,0.031024,0.018020,0.018775,0.004075,0.000000,-0.001150,0.018050,-0.023050,-0.014275,0.051150,0.004400,-0.001025,0.012900,-0.002750
-0.012200,0.019975,0.000075,-0.006400,-0.007900,-0.008350,-0.031600,-0.011000,-0.017400,0.014100,-0.004625,0.008225,0.045875,-0.013150,-0.017425,0.032641,0.013332,0.017625,0.002650,-0.000525,0.011975,0.012275,-0.016275,-0.013175,0.050325,-0.001675,-0.004225,0.015375,-0.001525
-0.012950,0.016625,-0.001125,-0.008300,-0.009275,-0.010300,-0.033100,-0.007325,-0.014725,0.009625,-0.011525,0.006875,0.046400,-0.009650,-0.012225,0.038816,0.010461,0.015050,0.000450,0.000400,0.018225,0.013850,-0.006725,-0.013950,0.033525,-0.008175,-0.014200,0.012975,-0.003950
-0.015650,0.010975,-0.006850,-0.010825,-0.010650,-0.010825,-0.033825,-0.009650,-0.012150,0.004125,-0.016575,0.012325,0.047425,-0.003375,-0.005825,0.047546,0.011228,0.012350,-0.001400,0.002325,0.014450,0.021975,0.000800,-0.016250,0.009125,-0.011825,-0.025950,0.006875,-0.008800
-0.025350,0.011800,-0.010575,-0.010725,-0.009350,-0.011550,-0.031475,-0.004650,-0.009025,0.005300,-0.016600,0.008975,0.043425,0.000475,-0.006475,0.047624,0.008772,0.011750,0.000925,0.010150,0.007525,0.019725,0.008800,-0.022825,-0.018800,-0.016575,-0.018625,-0.002825,-0.006100
-0.031625,0.013350,-0.011875,-0.010050,-0.007875,-0.012100,-0.027400,0.001350,-0.005975,0.008350,-0.014850,0.002375,0.038900,0.000325,-0.007250,0.043027,0.007400,0.011775,0.004800,0.018725,0.000650,0.017750,0.016000,-0.031850,-0.034725,-0.022675,-0.008575,-0.010350,0.001550
-0.024050,0.009925,-0.010325,-0.010900,-0.008675,-0.012175,-0.023000,0.002100,-0.003650,0.008400,-0.014500,-0.001825,0.038400,-0.005425,-0.001325,0.038144,0.011532,0.010975,0.007675,0.022975,-0.002925,0.026650,0.021075,-0.041600,-0.023125,-0.030400,-0.012025,-0.009875,0.011575
-0.015550,0.007525,-0.007425,-0.012700,-0.009725,-0.011375,-0.020150,0.000350,0.000800,0.006475,-0.009650,-0.001325,0.037625,-0.008100,0.001700,0.027633,0.014951,0.010250,0.008425,0.023275,-0.008500,0.024375,0.024525,-0.044800,0.002075,-0.028925,-0.009625,-0.006425,0.013150
-0.010425,0.007350,-0.004650,-0.014575,-0.010500,-0.010100,-0.020200,-0.003075,0.005150,0.003575,-0.002775,0.003575,0.036900,-0.006350,0.000350,0.013876,0.016355,0.009900,0.006625,0.019425,-0.013275,0.012075,0.024625,-0.039800,0.028275,-0.019000,-0.002625,-0.001750,0.005500
-0.006700,0.001325,-0.005700,-0.012525,-0.009200,-0.006750,-0.013375,-0.005500,0.007775,0.001850,0.000125,0.002675,0.027700,-0.005100,0.003600,0.008468,0.008082,0.009075,0.003100,0.017125,-0.010450,0.004500,0.016600,-0.039725,0.059625,-0.012225,-0.005550,0.003800,-0.005150
-0.002950,-0.005325,-0.007375,-0.009500,-0.007075,-0.003825,-0.006250,-0.005925,0.008975,-0.001675,-0.000125,-0.001500,0.018700,-0.004125,0.007175,0.008727,-0.002314,0.007775,-0.001125,0.013000,-0.005675,-0.000950,0.006025,-0.037650,0.082750,-0.008475,-0.009900,0.007400,-0.011475
0.002125,-0.007325,-0.006550,-0.008375,-0.005375,-0.003875,-0.005275,-0.003500,0.009000,-0.010075,-0.002700,-0.006375,0.018450,-0.003100,0.006825,0.011693,-0.007345,0.005950,-0.005025,0.003775,-0.004550,-0.007000,-0.001525,-0.026600,0.084275,-0.007650,-0.007175,0.006125,-0.006200
0.004425,-0.011275,-0.006300,-0.007925,-0.003600,-0.003425,-0.000300,0.004700,0.009450,-0.012450,-0.000575,-0.010150,0.015150,0.002400,0.006700,0.012571,-0.012845,0.005100,-0.009250,-0.004550,0.001025,-0.016525,-0.002950,-0.019300,0.071900,-0.005025,-0.003275,0.007825,-0.011475
0.002825,-0.015175,-0.006750,-0.008425,-0.002625,-0.002700,0.006175,0.014575,0.010125,-0.007550,0.005175,-0.010925,0.010525,0.009575,0.006825,0.008350,-0.015888,0.005675,-0.011700,-0.007875,0.008250,-0.024700,0.002425,-0.019400,0.051800,-0.001900,-0.000200,0.011675,-0.024600
0.000325,-0.021000,-0.003675,-0.005375,0.000575,-0.002425,0.014250,0.024625,0.004875,-0.015350,0.006600,-0.014550,0.004825,0.013250,0.010125,0.007170,-0.017289,0.006225,-0.011850,-0.002575,0.007700,-0.019925,-0.002600,-0.009650,0.025650,-0.008850,-0.000325,0.024700,-0.022350
-0.003100,-0.026225,-0.001150,-0.002400,0.002750,-0.002175,0.019675,0.029525,0.001025,-0.021125,0.006875,-0.017475,-0.001650,0.014125,0.012350,0.003973,-0.017794,0.007150,-0.010325,0.002000,0.004350,-0.013425,-0.007325,0.000225,0.001025,-0.014500,-0.002050,0.034675,-0.015325
-0.007450,-0.028250,-0.003175,-0.003150,0.000625,-0.001575,0.018325,0.023850,0.005925,-0.010125,0.009225,-0.016100,-0.008600,0.012825,0.009225,-0.006059,-0.018096,0.008875,-0.007625,-0.003550,0.003150,-0.016400,-0.001025,0.000450,-0.014500,-0.007400,-0.003800,0.029425,-0.014050
-0.012175,-0.029575,-0.004500,-0.003825,-0.001400,-0.002625,0.015650,0.023150,0.008975,-0.007225,0.007400,-0.014850,-0.010925,0.012450,0.006675,-0.015827,-0.017369,0.010500,-0.007775,-0.006775,0.002000,-0.011225,0.004950,-0.004475,-0.017425,-0.003900,-0.008725,0.029850,-0.013075
-0.014875,-0.029525,-0.004550,-0.004075,-0.002325,-0.004750,0.012975,0.027800,0.008650,-0.013850,0.002250,-0.014300,-0.007475,0.013200,0.005975,-0.023605,-0.016374,0.011250,-0.010700,-0.006100,0.001475,-0.000475,0.007575,-0.012075,-0.006275,-0.005750,-0.014350,0.035675,-0.012900
-0.016500,-0.026575,-0.006550,-0.004850,-0.001275,-0.004925,0.011025,0.030050,0.009575,-0.011475,0.004375,-0.010150,-0.003875,0.009925,0.001450,-0.035666,-0.011781,0.006650,-0.011975,0.003725,0.001925,0.005075,0.010150,-0.026775,0.016450,-0.011125,-0.012600,0.028325,-0.025925
-0.015325,-0.024325,-0.008125,-0.004450,0.001900,-0.004675,0.010450,0.031050,0.010925,-0.006275,0.007150,-0.005025,-0.001000,0.005750,0.000375,-0.044591,-0.008069,0.000775,-0.012100,0.011725,0.001025,0.010475,0.009950,-0.038075,0.032550,-0.016150,-0.006850,0.018275,-0.036825
-0.009575,-0.026375,-0.006975,-0.001200,0.007250,-0.005550,0.011925,0.031950,0.011825,-0.004375,0.003850,-0.001425,0.000175,0.003800,0.009975,-0.043059,-0.009773,-0.002225,-0.011575,0.006800,-0.003600,0.020750,0.004225,-0.035500,0.023900,-0.016950,-0.000425,0.015925,-0.030325
-0.003425,-0.026800,-0.005425,0.003150,0.009550,-0.006525,0.019900,0.031075,0.012325,-0.008125,0.000875,0.002000,0.005575,0.002975,0.014325,-0.042500,-0.004495,-0.003175,-0.007925,0.001525,-0.003075,0.026900,0.006750,-0.029850,0.018875,-0.014425,-0.001450,0.013250,-0.025575
0.000025,-0.025400,-0.004250,0.006475,0.007675,-0.007075,0.030425,0.028900,0.012200,-0.015675,-0.000250,0.003525,0.012550,0.003650,0.011325,-0.042555,0.004419,-0.001600,-0.002925,-0.001425,0.002375,0.025850,0.016275,-0.023925,0.019925,-0.009800,-0.009400,0.011600,-0.024925
0.000050,-0.025650,-0.006375,0.008425,0.009425,-0.005550,0.033725,0.028550,0.011300,-0.015325,0.001325,0.003400,0.007850,0.004925,0.010125,-0.031293,0.010464,-0.002250,-0.003925,-0.011000,-0.004125,0.030675,0.015475,-0.015825,0.008125,-0.008200,-0.013475,0.005000,-0.020125
-0.001625,-0.026550,-0.008275,0.008875,0.012025,-0.004175,0.032250,0.028825,0.010675,-0.013300,0.001725,0.001350,0.000175,0.006275,0.010350,-0.017721,0.015215,-0.003100,-0.006125,-0.017225,-0.016750,0.040225,0.012800,-0.009875,-0.003125,-0.009750,-0.012725,-0.000725,-0.015700
-0.003300,-0.027075,-0.006375,0.007800,0.012725,-0.005250,0.028475,0.028650,0.011450,-0.015850,-0.002850,-0.002775,-0.001700,0.007100,0.011775,-0.011223,0.020205,-0.002100,-0.004725,-0.010025,-0.029575,0.053400,0.016725,-0.010375,-0.000425,-0.014550,-0.006150,0.000300,-0.016125
-0.005925,-0.025425,-0.008275,0.007350,0.012800,-0.007625,0.023825,0.027050,0.013250,-0.023175,-0.007275,-0.004475,-0.000300,0.010325,0.011100,-0.000831,0.025060,-0.003250,-0.003625,-0.009325,-0.037550,0.051975,0.017950,-0.004825,-0.002275,-0.016300,-0.003375,0.004850,-0.015675
-0.008250,-0.022425,-0.013025,0.007725,0.012175,-0.010100,0.020650,0.024775,0.015100,-0.031600,-0.009325,-0.002925,0.003700,0.014375,0.008625,0.013054,0.027437,-0.005975,-0.003325,-0.015475,-0.036725,0.036600,0.015875,0.003975,-0.007750,-0.014100,-0.005775,0.010625,-0.014600
-0.007900,-0.025125,-0.013775,0.007625,0.012000,-0.009775,0.017550,0.015975,0.019575,-0.030400,-0.009525,-0.012725,-0.003525,0.013600,0.012475,0.024876,0.033161,-0.005500,-0.003825,-0.010725,-0.032450,0.031900,0.029550,0.003175,-0.006525,-0.021450,-0.003850,0.013700,-0.003400
-0.008375,-0.029375,-0.012575,0.006825,0.011800,-0.008475,0.015800,0.009550,0.024000,-0.028600,-0.009150,-0.025975,-0.012150,0.014425,0.016800,0.034071,0.038632,-0.004275,-0.004425,-0.008025,-0.027450,0.029175,0.044900,-0.003150,-0.002575,-0.028525,-0.001500,0.017050,0.007300
