body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
0.000162,-0.013283,-0.005840,0.001856,-0.000886,-0.005556,0.003393,-0.011960,-0.000508,0.017992,-0.052332,-0.004077,-0.014099,0.024937,-0.007801,-0.007331,0.019450,-0.053263,0.023888,0.032741,-0.053600,0.004441,-0.053156,0.011206,-0.674807,0.322357,-0.321126,-5.359690,-0.060399,7.665578,-0.016136,0.068823,-0.004703,0.746885,0.405267,0.354940,6.324429,-0.009413,-8.678451,0.016535,0.068837,-0.006014
0.000562,-0.012197,-0.001332,0.000070,-0.003172,-0.001336,0.001262,-0.009609,-0.000455,0.017634,-0.044365,-0.003650,-0.014319,0.025374,-0.003388,-0.007418,0.020413,-0.049353,0.021014,0.030250,-0.049532,0.004671,-0.050318,0.013179,-0.685831,0.255811,-0.343035,-5.345456,-0.053857,7.679979,-0.018903,0.060184,0.002112,0.771993,0.320519,0.398300,6.359686,-0.001208,-8.759176,0.020088,0.060223,-0.003925
0.001808,-0.009039,0.012243,-0.005289,-0.010156,0.011365,-0.005124,-0.002764,-0.000190,0.016612,-0.020639,-0.002256,-0.014959,0.026532,0.009895,-0.007643,0.023154,-0.037577,0.012440,0.022704,-0.037263,0.005380,-0.041954,0.019124,-0.688381,0.119946,-0.374224,-5.284792,-0.042785,7.664017,-0.028846,0.034086,0.022647,0.797719,0.141080,0.474742,6.385783,0.012108,-8.849391,0.032486,0.034204,0.002350
0.002879,-0.007861,0.019060,-0.008661,-0.015750,0.017592,-0.010063,0.007044,-0.004852,0.017893,-0.002845,-0.006493,-0.012686,0.024081,0.016883,-0.005761,0.021758,-0.027511,0.006297,0.011698,-0.026727,0.003574,-0.035952,0.021486,-0.662528,-0.014844,-0.391498,-5.154891,-0.038729,7.535260,-0.023659,0.015004,0.032420,0.771559,-0.042008,0.520099,6.302008,0.015806,-8.799187,0.029415,0.015173,0.005982
0.003218,-0.009200,0.015709,-0.008368,-0.017068,0.014231,-0.011095,0.015025,-0.012121,0.020813,0.000229,-0.014255,-0.008676,0.019308,0.014081,-0.002764,0.016944,-0.024200,0.005608,0.002705,-0.023210,0.000128,-0.035225,0.019118,-0.615038,-0.138969,-0.396875,-4.952746,-0.040722,7.286826,-0.004047,0.012546,0.026417,0.699759,-0.211332,0.529928,6.089124,0.014920,-8.586335,0.010455,0.012701,0.005292
0.002254,-0.007718,0.021153,-0.006472,-0.018816,0.020002,-0.007914,0.008045,-0.007733,0.019295,-0.003850,-0.009491,-0.006560,0.015485,0.019965,-0.002013,0.014624,-0.008801,0.002555,-0.002992,-0.007653,-0.002782,-0.029886,0.020382,-0.543373,-0.242629,-0.380435,-4.678563,-0.042087,6.945175,0.001722,0.002879,0.046624,0.594591,-0.356571,0.516805,5.735355,0.011425,-8.171586,0.002755,0.003218,-0.004144
0.001230,-0.005938,0.027397,-0.004735,-0.019740,0.026567,-0.004292,-0.001555,-0.001840,0.016604,-0.009348,-0.003083,-0.005934,0.013360,0.026439,-0.003032,0.012515,0.007822,-0.001463,-0.006595,0.009023,-0.005311,-0.024475,0.023408,-0.457194,-0.322703,-0.346794,-4.328049,-0.041940,6.486143,0.001370,-0.007032,0.065431,0.464806,-0.460664,0.475396,5.220615,0.011477,-7.515533,0.001076,-0.006533,-0.010596
0.001542,-0.006285,0.026400,-0.004790,-0.018490,0.025531,-0.003888,-0.001331,-0.004505,0.016105,-0.010393,-0.005811,-0.006301,0.013685,0.025347,-0.005268,0.008239,0.014780,-0.004929,-0.009349,0.015873,-0.007453,-0.023361,0.026302,-0.367368,-0.377053,-0.302055,-3.905549,-0.042752,5.899186,0.002823,-0.009997,0.055180,0.325434,-0.509059,0.405659,4.554745,0.016310,-6.620985,0.000249,-0.009613,-0.002379
0.001962,-0.004615,0.020410,-0.006248,-0.017575,0.019298,-0.004206,-0.004615,-0.012579,0.012532,-0.010819,-0.013561,-0.007243,0.012000,0.019133,-0.007663,0.000016,0.012599,-0.008820,-0.012140,0.013337,-0.008848,-0.018941,0.019064,-0.277628,-0.391050,-0.256470,-3.429793,-0.032260,5.212226,0.008150,-0.004920,0.038115,0.155168,-0.336444,0.231679,2.687484,0.019786,-3.922637,0.015653,-0.006736,-0.023241
0.002204,-0.001839,0.012421,-0.008500,-0.017505,0.010975,-0.005198,-0.009828,-0.022060,0.007580,-0.010496,-0.022497,-0.008353,0.009122,0.010905,-0.009088,-0.008045,0.002383,-0.011239,-0.013627,0.002699,-0.008894,-0.013537,0.005338,-0.191183,-0.362435,-0.207703,-2.869394,-0.013437,4.374466,0.001211,0.003895,0.041359,0.027671,-0.070646,0.048930,0.591576,0.015992,-0.859896,0.009361,0.003540,-0.023773
