body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.011700,0.014600,-0.001350,-0.009634,0.014617,-0.001301,-0.009170,0.014807,-0.001318,-0.004704,0.016055,-0.001990,-0.011761,0.014613,-0.001322,-0.019142,0.013950,-0.001154,-0.026129,0.014536,-0.000041,-0.012426,0.014436,-0.001419,-0.029267,0.014340,-0.000717,-0.031976,0.014425,-0.008540,-0.023496,0.013514,-0.001608,-0.027676,0.012972,-0.003533,-0.029728,0.010267,-0.011653,-0.022318,0.012839,-0.005190
-0.010875,0.011625,-0.001500,-0.009379,0.011698,-0.001410,-0.008364,0.011631,-0.001466,-0.004720,0.012191,-0.002025,-0.010540,0.011698,-0.001520,-0.017977,0.010977,-0.001346,-0.025154,0.011323,-0.000178,-0.011541,0.011432,-0.001563,-0.027120,0.011149,-0.000427,-0.030403,0.011236,-0.008708,-0.022052,0.011545,-0.001752,-0.024729,0.010121,-0.003095,-0.027565,0.008639,-0.012022,-0.019751,0.010896,-0.005180
-0.008350,0.002625,-0.001950,-0.008555,0.002874,-0.001733,-0.005851,0.002026,-0.001906,-0.004607,0.000524,-0.002141,-0.006807,0.002887,-0.002120,-0.014365,0.001990,-0.001931,-0.022068,0.001618,-0.000606,-0.008843,0.002342,-0.001997,-0.021525,0.001686,-0.000031,-0.026037,0.002705,-0.009111,-0.017827,0.005548,-0.002191,-0.016874,0.001332,-0.002391,-0.021263,0.002496,-0.012715,-0.012201,0.005034,-0.005080
-0.005300,-0.002450,-0.002575,-0.006255,-0.002054,-0.002244,-0.002139,-0.003086,-0.002483,-0.004002,-0.005877,-0.002205,-0.003017,-0.002033,-0.002872,-0.009733,-0.002532,-0.002720,-0.016700,-0.002875,-0.001483,-0.005725,-0.002749,-0.002616,-0.015685,-0.003270,-0.000157,-0.021504,-0.002495,-0.009847,-0.013835,0.002074,-0.003268,-0.009722,-0.002945,-0.001510,-0.016394,0.000214,-0.013290,-0.006896,0.001623,-0.005419
-0.003275,-0.001025,-0.003050,-0.003660,-0.000587,-0.002678,0.000855,-0.001118,-0.002899,-0.003302,-0.003781,-0.002165,-0.001095,-0.000568,-0.003386,-0.006448,-0.000304,-0.003300,-0.011792,0.000104,-0.002352,-0.003770,-0.001256,-0.003098,-0.011851,-0.001345,-0.000340,-0.018597,-0.002854,-0.010194,-0.012022,0.002905,-0.004300,-0.005960,-0.000382,-0.000318,-0.014849,0.004745,-0.013065,-0.006431,0.002393,-0.005897
-0.005450,0.002525,-0.002825,-0.006572,0.002840,-0.002572,-0.001648,0.002876,-0.002775,-0.003754,0.000931,-0.002408,-0.002678,0.002863,-0.003055,-0.006844,0.002977,-0.002981,-0.011220,0.002784,-0.002164,-0.005862,0.002376,-0.002865,-0.011743,0.002756,0.000003,-0.018991,-0.000179,-0.009513,-0.014445,0.007703,-0.005078,-0.004963,0.004231,0.001276,-0.014083,0.012897,-0.010693,-0.007902,0.007220,-0.005386
-0.005300,0.005250,-0.002200,-0.007308,0.005433,-0.002073,-0.002227,0.005902,-0.002255,-0.001511,0.004719,-0.002405,-0.001926,0.005463,-0.002317,-0.005420,0.004923,-0.002217,-0.008913,0.003511,-0.001500,-0.005614,0.005168,-0.002231,-0.009858,0.006050,0.000630,-0.016338,0.002006,-0.007554,-0.014211,0.011813,-0.004982,-0.001935,0.007877,0.002909,-0.008955,0.019451,-0.006386,-0.006386,0.011412,-0.004096
0.003625,0.004250,-0.001425,0.001731,0.004473,-0.001259,0.006428,0.005062,-0.001411,0.007127,0.004165,-0.001543,0.006909,0.004505,-0.001576,0.003235,0.003249,-0.001428,0.001134,0.000765,-0.000915,0.003293,0.004187,-0.001458,-0.000692,0.005555,0.001372,-0.004750,0.000314,-0.004322,-0.004501,0.010627,-0.003380,0.007943,0.007543,0.004256,0.004484,0.019314,-0.001251,0.002978,0.010321,-0.002316
0.007675,0.002775,-0.000800,0.006285,0.003049,-0.000587,0.010802,0.003400,-0.000743,0.012568,0.002867,-0.001071,0.010146,0.003076,-0.001005,0.006854,0.001290,-0.000834,0.007207,-0.001812,-0.000740,0.007435,0.002762,-0.000825,0.005451,0.004239,0.001713,0.003011,-0.001618,-0.002102,0.000219,0.007843,-0.003502,0.009744,0.005931,0.003507,0.008674,0.012782,0.001258,0.004822,0.007942,-0.001631
0.004850,0.001525,-0.000650,0.004112,0.001826,-0.000414,0.008758,0.001667,-0.000606,0.012163,0.001358,-0.001253,0.006197,0.001844,-0.000893,0.003669,-0.000040,-0.000735,0.006311,-0.003021,-0.001062,0.004761,0.001574,-0.000660,0.005432,0.002760,0.001433,0.003711,-0.002488,-0.001198,-0.002674,0.004566,-0.005222,0.003055,0.003917,0.001359,0.001757,0.005299,0.000158,-0.001377,0.004930,-0.002017
