body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
0.046256,-0.010303,0.783686,0.047009,0.106974,0.651317,0.031932,0.126267,0.346063,-0.027007,0.139423,0.034523,0.047844,-0.125925,0.649833,0.041350,-0.142344,0.344181,-0.011877,-0.153788,0.031639,0.041088,-0.010314,0.837584,0.072350,0.128826,1.073504,0.178049,0.133942,0.922547,0.274037,0.146670,0.767261,0.061501,-0.150690,1.074179,0.169917,-0.154810,0.925208,0.268454,-0.166946,0.771568
0.046022,-0.010011,0.783659,0.046817,0.107267,0.651291,0.031749,0.126563,0.346037,-0.027101,0.139744,0.034483,0.047609,-0.125633,0.649806,0.040967,-0.142065,0.344158,-0.012399,-0.153497,0.031638,0.040840,-0.010025,0.837555,0.071765,0.129112,1.073490,0.177409,0.134230,0.922376,0.273567,0.146940,0.767229,0.060947,-0.150430,1.074108,0.169322,-0.154604,0.924975,0.268008,-0.166689,0.771465
0.045821,-0.009838,0.783626,0.046634,0.107442,0.651260,0.031597,0.126732,0.346005,-0.027196,0.139911,0.034442,0.047422,-0.125458,0.649772,0.040631,-0.141905,0.344127,-0.012883,-0.153335,0.031631,0.040627,-0.009857,0.837521,0.071265,0.129272,1.073487,0.176832,0.134391,0.922198,0.273155,0.147132,0.767191,0.060512,-0.150285,1.074055,0.168814,-0.154464,0.924727,0.267664,-0.166510,0.771361
0.045688,-0.009906,0.783581,0.046474,0.107382,0.651221,0.031515,0.126644,0.345961,-0.027285,0.139765,0.034397,0.047336,-0.125518,0.649721,0.040393,-0.141986,0.344080,-0.013282,-0.153432,0.031614,0.040486,-0.009931,0.837475,0.070904,0.129180,1.073489,0.176368,0.134338,0.922011,0.272854,0.147162,0.767141,0.060273,-0.150377,1.074013,0.168471,-0.154505,0.924466,0.267520,-0.166488,0.771261
0.045609,-0.009936,0.783523,0.046384,0.107360,0.651171,0.031512,0.126609,0.345905,-0.027356,0.139676,0.034354,0.047302,-0.125539,0.649657,0.040242,-0.142007,0.344018,-0.013551,-0.153450,0.031572,0.040398,-0.009967,0.837416,0.070638,0.129141,1.073481,0.175972,0.134291,0.921804,0.272601,0.147215,0.767060,0.060123,-0.150403,1.073995,0.168158,-0.154456,0.924195,0.267389,-0.166445,0.771144
0.045557,-0.009947,0.783459,0.046328,0.107358,0.651114,0.031549,0.126599,0.345845,-0.027417,0.139614,0.034311,0.047293,-0.125540,0.649586,0.040135,-0.141998,0.343948,-0.013754,-0.153428,0.031519,0.040335,-0.009982,0.837351,0.070430,0.129126,1.073475,0.175624,0.134224,0.921604,0.272373,0.147278,0.766969,0.060034,-0.150392,1.074000,0.167878,-0.154315,0.923944,0.267263,-0.166392,0.771026
0.045391,-0.009835,0.783410,0.046121,0.107474,0.651068,0.031446,0.126724,0.345794,-0.027506,0.139713,0.034257,0.047195,-0.125424,0.649535,0.039968,-0.141888,0.343899,-0.014000,-0.153339,0.031486,0.040163,-0.009872,0.837302,0.070168,0.129251,1.073481,0.175213,0.134284,0.921424,0.272024,0.147523,0.766857,0.059924,-0.150233,1.074046,0.167595,-0.153940,0.923768,0.267073,-0.166156,0.770929
0.045345,-0.009737,0.783371,0.046036,0.107575,0.651031,0.031460,0.126836,0.345755,-0.027478,0.139803,0.034215,0.047216,-0.125322,0.649493,0.039918,-0.141801,0.343860,-0.014110,-0.153288,0.031459,0.040111,-0.009775,0.837262,0.070036,0.129368,1.073500,0.174970,0.134305,0.921302,0.271804,0.147751,0.766770,0.059957,-0.150077,1.074116,0.167519,-0.153537,0.923688,0.267007,-0.165935,0.770862
0.045536,-0.009665,0.783353,0.046190,0.107653,0.651017,0.031703,0.126926,0.345738,-0.027221,0.139880,0.034195,0.047471,-0.125244,0.649472,0.040097,-0.141758,0.343842,-0.013954,-0.153308,0.031449,0.040295,-0.009704,0.837244,0.070141,0.129473,1.073536,0.175023,0.134297,0.921251,0.271843,0.147948,0.766722,0.060242,-0.149932,1.074216,0.167774,-0.153167,0.923717,0.267192,-0.165743,0.770836
0.045652,-0.009626,0.783339,0.046287,0.107697,0.651008,0.031892,0.126972,0.345725,-0.026975,0.139917,0.034172,0.047621,-0.125199,0.649453,0.040192,-0.141749,0.343826,-0.013822,-0.153360,0.031430,0.040408,-0.009664,0.837229,0.070254,0.129538,1.073569,0.175091,0.134240,0.921217,0.271813,0.148065,0.766630,0.060346,-0.149840,1.074257,0.167866,-0.153025,0.923738,0.267200,-0.165618,0.770796
0.045730,-0.009604,0.783327,0.046355,0.107726,0.651001,0.032053,0.126993,0.345714,-0.026734,0.139934,0.034145,0.047719,-0.125170,0.649436,0.040244,-0.141759,0.343812,-0.013702,-0.153429,0.031407,0.040485,-0.009641,0.837217,0.070358,0.129584,1.073593,0.175171,0.134197,0.921203,0.271737,0.148130,0.766513,0.060364,-0.149775,1.074271,0.167845,-0.152955,0.923724,0.267137,-0.165546,0.770756
0.045835,-0.009411,0.783329,0.046416,0.107924,0.651006,0.032291,0.127182,0.345711,-0.026370,0.140093,0.034117,0.047864,-0.124971,0.649434,0.040292,-0.141600,0.343815,-0.013659,-0.153346,0.031413,0.040594,-0.009447,0.837219,0.070412,0.129834,1.073567,0.175186,0.134472,0.921150,0.271691,0.148442,0.766431,0.060485,-0.149529,1.074300,0.167934,-0.152672,0.923731,0.267190,-0.165239,0.770741
0.045887,-0.009291,0.783325,0.046429,0.108050,0.651006,0.032449,0.127293,0.345704,-0.026114,0.140167,0.034090,0.047951,-0.124845,0.649425,0.040295,-0.141516,0.343810,-0.013653,-0.153338,0.031412,0.040649,-0.009326,0.837216,0.070427,0.130008,1.073534,0.175157,0.134666,0.921088,0.271598,0.148666,0.766337,0.060555,-0.149357,1.074323,0.167968,-0.152469,0.923727,0.267180,-0.165016,0.770711
0.045835,-0.009318,0.783307,0.046344,0.108029,0.650993,0.032453,0.127244,0.345685,-0.026067,0.140074,0.034062,0.047924,-0.124865,0.649402,0.040209,-0.141584,0.343791,-0.013713,-0.153482,0.031391,0.040600,-0.009352,0.837198,0.070363,0.130033,1.073486,0.175046,0.134699,0.921008,0.271415,0.148717,0.766220,0.060526,-0.149335,1.074331,0.167894,-0.152428,0.923702,0.267050,-0.164965,0.770652
0.045903,-0.009287,0.783284,0.046397,0.108066,0.650974,0.032564,0.127238,0.345662,-0.025923,0.140021,0.034031,0.048004,-0.124828,0.649374,0.040239,-0.141595,0.343767,-0.013702,-0.153551,0.031372,0.040669,-0.009320,0.837175,0.070448,0.130106,1.073436,0.175073,0.134768,0.920918,0.271358,0.148792,0.766083,0.060626,-0.149263,1.074327,0.167935,-0.152351,0.923657,0.267013,-0.164888,0.770558
0.046031,-0.009225,0.783256,0.046518,0.108133,0.650951,0.032729,0.127257,0.345634,-0.025730,0.139991,0.033996,0.048137,-0.124761,0.649341,0.040327,-0.141574,0.343738,-0.013658,-0.153579,0.031353,0.040798,-0.009256,0.837147,0.070608,0.130205,1.073382,0.175170,0.134857,0.920820,0.271361,0.148879,0.765933,0.060790,-0.149165,1.074315,0.168032,-0.152254,0.923597,0.267020,-0.164797,0.770444
0.045950,-0.009020,0.783215,0.046410,0.108341,0.650912,0.032632,0.127417,0.345591,-0.025821,0.140097,0.033951,0.048077,-0.124553,0.649298,0.040287,-0.141398,0.343696,-0.013685,-0.153441,0.031309,0.040719,-0.009051,0.837106,0.070575,0.130423,1.073328,0.175097,0.135091,0.920739,0.271220,0.149130,0.765813,0.060774,-0.148947,1.074278,0.167986,-0.152015,0.923538,0.266921,-0.164540,0.770353
0.045910,-0.008858,0.783190,0.046348,0.108504,0.650888,0.032557,0.127535,0.345565,-0.025881,0.140173,0.033920,0.048047,-0.124389,0.649272,0.040279,-0.141264,0.343671,-0.013667,-0.153340,0.031281,0.040682,-0.008888,0.837082,0.070600,0.130599,1.073289,0.175085,0.135274,0.920675,0.271149,0.149318,0.765714,0.060793,-0.148770,1.074258,0.167979,-0.151829,0.923498,0.266866,-0.164345,0.770284
0.045951,-0.008784,0.783201,0.046379,0.108576,0.650897,0.032527,0.127564,0.345575,-0.025878,0.140185,0.033923,0.048076,-0.124318,0.649284,0.040333,-0.141219,0.343684,-0.013562,-0.153323,0.031286,0.040728,-0.008811,0.837093,0.070736,0.130690,1.073282,0.175196,0.135350,0.920650,0.271219,0.149379,0.765664,0.060883,-0.148676,1.074278,0.168049,-0.151748,0.923503,0.266901,-0.164274,0.770268
0.045935,-0.008829,0.783200,0.046350,0.108532,0.650897,0.032443,0.127469,0.345574,-0.025965,0.140049,0.033921,0.048047,-0.124361,0.649282,0.040349,-0.141294,0.343682,-0.013524,-0.153429,0.031281,0.040719,-0.008855,0.837093,0.070830,0.130650,1.073268,0.175261,0.135301,0.920616,0.271247,0.149320,0.765606,0.060928,-0.148714,1.074278,0.168073,-0.151791,0.923489,0.266895,-0.164322,0.770235
0.045890,-0.008933,0.783194,0.046291,0.108431,0.650894,0.032331,0.127309,0.345569,-0.026098,0.139838,0.033917,0.047989,-0.124463,0.649273,0.040345,-0.141430,0.343674,-0.013520,-0.153598,0.031272,0.040682,-0.008958,0.837087,0.070902,0.130544,1.073251,0.175302,0.135189,0.920577,0.271251,0.149202,0.765544,0.060951,-0.148816,1.074270,0.168073,-0.151896,0.923465,0.266866,-0.164429,0.770194
0.045788,-0.009013,0.783175,0.046190,0.108351,0.650875,0.032176,0.127192,0.345551,-0.026162,0.139722,0.033881,0.047836,-0.124542,0.649252,0.040262,-0.141533,0.343654,-0.013575,-0.153718,0.031246,0.040593,-0.009036,0.837070,0.070914,0.130467,1.073222,0.175317,0.135077,0.920549,0.271278,0.149053,0.765519,0.060880,-0.148890,1.074255,0.168000,-0.152005,0.923449,0.266795,-0.164564,0.770178
0.045675,-0.009026,0.783177,0.046084,0.108339,0.650878,0.032032,0.127141,0.345552,-0.026243,0.139661,0.033869,0.047668,-0.124555,0.649253,0.040172,-0.141571,0.343654,-0.013639,-0.153773,0.031242,0.040494,-0.009047,0.837073,0.070940,0.130452,1.073213,0.175337,0.135026,0.920535,0.271303,0.148962,0.765502,0.060806,-0.148900,1.074259,0.167917,-0.152053,0.923446,0.266709,-0.164640,0.770173
0.045541,-0.008904,0.783219,0.045968,0.108462,0.650920,0.031910,0.127222,0.345591,-0.026358,0.139715,0.033906,0.047471,-0.124433,0.649293,0.040063,-0.141480,0.343694,-0.013725,-0.153692,0.031278,0.040374,-0.008922,0.837116,0.070998,0.130563,1.073243,0.175370,0.135096,0.920547,0.271325,0.148989,0.765500,0.060729,-0.148783,1.074296,0.167817,-0.151978,0.923469,0.266594,-0.164598,0.770186
0.045340,-0.008869,0.783229,0.045778,0.108501,0.650934,0.031729,0.127232,0.345603,-0.026463,0.139721,0.033902,0.047210,-0.124394,0.649298,0.039887,-0.141480,0.343699,-0.013844,-0.153722,0.031274,0.040189,-0.008886,0.837128,0.070984,0.130595,1.073237,0.175315,0.135090,0.920511,0.271239,0.148943,0.765440,0.060595,-0.148746,1.074305,0.167642,-0.151980,0.923450,0.266382,-0.164629,0.770143
0.045107,-0.008876,0.783225,0.045552,0.108501,0.650935,0.031520,0.127210,0.345602,-0.026563,0.139706,0.033880,0.046920,-0.124394,0.649287,0.039677,-0.141523,0.343689,-0.013977,-0.153805,0.031252,0.039971,-0.008892,0.837125,0.070935,0.130587,1.073214,0.175217,0.135048,0.920454,0.271099,0.148864,0.765351,0.060434,-0.148748,1.074301,0.167430,-0.152020,0.923410,0.266123,-0.164694,0.770071
0.045133,-0.008844,0.783257,0.045608,0.108536,0.650969,0.031619,0.127208,0.345631,-0.026382,0.139693,0.033893,0.046878,-0.124360,0.649316,0.039695,-0.141526,0.343719,-0.013951,-0.153832,0.031282,0.040011,-0.008856,0.837159,0.071167,0.130617,1.073226,0.175383,0.135032,0.920419,0.271194,0.148794,0.765265,0.060499,-0.148712,1.074334,0.167435,-0.152036,0.923401,0.266057,-0.164748,0.770018
0.045103,-0.008824,0.783290,0.045615,0.108556,0.651002,0.031659,0.127200,0.345661,-0.026277,0.139680,0.033910,0.046782,-0.124340,0.649347,0.039677,-0.141527,0.343750,-0.013927,-0.153841,0.031306,0.039991,-0.008831,0.837193,0.071338,0.130641,1.073235,0.175486,0.135001,0.920381,0.271227,0.148704,0.765176,0.060495,-0.148680,1.074371,0.167368,-0.152065,0.923396,0.265916,-0.164824,0.769966
0.044961,-0.008827,0.783327,0.045525,0.108550,0.651036,0.031581,0.127180,0.345693,-0.026327,0.139670,0.033938,0.046577,-0.124348,0.649386,0.039590,-0.141523,0.343787,-0.013909,-0.153812,0.031322,0.039856,-0.008827,0.837230,0.071386,0.130655,1.073242,0.175469,0.134942,0.920341,0.271138,0.148574,0.765087,0.060354,-0.148659,1.074420,0.167162,-0.152116,0.923400,0.265630,-0.164940,0.769925
0.044848,-0.008847,0.783332,0.045477,0.108523,0.651036,0.031525,0.127140,0.345692,-0.026313,0.139654,0.033924,0.046387,-0.124375,0.649396,0.039508,-0.141555,0.343794,-0.013885,-0.153830,0.031311,0.039749,-0.008839,0.837236,0.071470,0.130660,1.073211,0.175467,0.134857,0.920249,0.271046,0.148402,0.764932,0.060224,-0.148645,1.074441,0.166943,-0.152195,0.923360,0.265308,-0.165100,0.769824
0.044751,-0.008874,0.783319,0.045450,0.108488,0.651016,0.031482,0.127091,0.345671,-0.026263,0.139634,0.033887,0.046207,-0.124410,0.649389,0.039431,-0.141605,0.343786,-0.013856,-0.153873,0.031283,0.039658,-0.008856,0.837223,0.071573,0.130663,1.073159,0.175475,0.134760,0.920130,0.270958,0.148208,0.764744,0.060101,-0.148634,1.074446,0.166719,-0.152286,0.923296,0.264971,-0.165279,0.769694
0.044695,-0.008864,0.783355,0.045432,0.108491,0.651046,0.031425,0.127091,0.345702,-0.026285,0.139661,0.033912,0.046074,-0.124408,0.649430,0.039381,-0.141588,0.343825,-0.013844,-0.153824,0.031310,0.039614,-0.008838,0.837260,0.071729,0.130684,1.073165,0.175536,0.134711,0.920069,0.270927,0.148090,0.764621,0.060054,-0.148605,1.074490,0.166585,-0.152328,0.923280,0.264744,-0.165385,0.769623
0.044603,-0.008827,0.783369,0.045378,0.108522,0.651054,0.031334,0.127119,0.345711,-0.026330,0.139718,0.033914,0.045904,-0.124378,0.649449,0.039291,-0.141539,0.343841,-0.013856,-0.153743,0.031311,0.039534,-0.008794,0.837276,0.071854,0.130736,1.073148,0.175569,0.134687,0.919987,0.270866,0.147997,0.764477,0.059979,-0.148546,1.074512,0.166424,-0.152341,0.923243,0.264485,-0.165466,0.769531
0.044437,-0.008734,0.783341,0.045248,0.108610,0.651022,0.031170,0.127207,0.345680,-0.026425,0.139844,0.033871,0.045653,-0.124290,0.649424,0.039116,-0.141424,0.343814,-0.013922,-0.153591,0.031262,0.039382,-0.008693,0.837249,0.071915,0.130848,1.073084,0.175541,0.134717,0.919862,0.270735,0.147960,0.764287,0.059852,-0.148425,1.074495,0.166206,-0.152292,0.923164,0.264154,-0.165492,0.769390
0.044161,-0.008829,0.783327,0.044989,0.108511,0.651004,0.030892,0.127118,0.345663,-0.026552,0.139813,0.033828,0.045311,-0.124389,0.649413,0.038828,-0.141494,0.343800,-0.014105,-0.153632,0.031229,0.039120,-0.008780,0.837236,0.071872,0.130786,1.073025,0.175400,0.134588,0.919735,0.270488,0.147775,0.764093,0.059633,-0.148479,1.074498,0.165896,-0.152406,0.923105,0.263740,-0.165667,0.769271
0.043829,-0.009018,0.783318,0.044665,0.108318,0.650992,0.030556,0.126939,0.345651,-0.026695,0.139701,0.033783,0.044921,-0.124582,0.649406,0.038483,-0.141658,0.343791,-0.014347,-0.153771,0.031201,0.038803,-0.008961,0.837228,0.071775,0.130639,1.072966,0.175203,0.134380,0.919606,0.270183,0.147519,0.763898,0.059369,-0.148620,1.074510,0.165540,-0.152601,0.923054,0.263286,-0.165916,0.769164
