body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
0.999932,0.003107,-0.011249,-0.000279,0.996659,0.054408,-0.060848,0.002699,0.988924,0.030628,0.094967,0.109872,0.994153,-0.007928,0.007480,0.107434,0.996319,-0.038773,-0.076360,-0.003690,0.993593,-0.023476,0.088184,-0.066676,0.997896,0.002709,-0.011815,-0.063698,0.999365,-0.000211,0.029433,-0.020094,0.961317,0.040594,-0.258170,-0.087002,0.874100,0.200708,0.426946,-0.115683,0.716815,0.340314,0.572448,-0.206557,0.960464,-0.033053,-0.270323,0.057816,0.870963,-0.227988,0.415185,0.130634,0.719047,-0.335570,0.571272,0.209794
0.999930,0.003108,-0.011382,-0.000337,0.996658,0.054423,-0.060860,0.002643,0.988935,0.030649,0.094845,0.109874,0.994162,-0.007805,0.006941,0.107390,0.996333,-0.038920,-0.076109,-0.003747,0.993538,-0.023514,0.088385,-0.067207,0.997864,0.002920,-0.011475,-0.064237,0.999383,-0.000159,0.028902,-0.019981,0.962112,0.032996,-0.255780,-0.088474,0.890133,0.120440,0.433724,-0.070999,0.716466,0.340083,0.572892,-0.206917,0.961560,-0.024684,-0.266968,0.059337,0.891692,-0.135747,0.424214,0.080627,0.718721,-0.335272,0.571752,0.210076
0.999929,0.003118,-0.011493,-0.000305,0.996656,0.054407,-0.060913,0.002676,0.988943,0.030632,0.094774,0.109871,0.994169,-0.007672,0.006561,0.107357,0.996347,-0.039066,-0.075852,-0.003716,0.993487,-0.023563,0.088603,-0.067660,0.997838,0.003078,-0.011188,-0.064694,0.999399,-0.000105,0.028429,-0.019828,0.962473,0.025187,-0.254690,-0.090252,0.898293,0.039226,0.436909,-0.025348,0.716263,0.339770,0.573247,-0.207153,0.962081,-0.015695,-0.265276,0.061495,0.902122,-0.040585,0.428615,0.028587,0.718509,-0.334983,0.572079,0.210371
0.999928,0.003147,-0.011562,-0.000092,0.996651,0.054331,-0.061050,0.002887,0.988944,0.030542,0.094801,0.109862,0.994172,-0.007519,0.006495,0.107344,0.996362,-0.039205,-0.075589,-0.003506,0.993443,-0.023631,0.088852,-0.067956,0.997821,0.003131,-0.011008,-0.064985,0.999414,-0.000046,0.028066,-0.019596,0.962397,0.017620,-0.254905,-0.092222,0.898594,-0.041220,0.436364,0.020405,0.716365,0.339269,0.573415,-0.207155,0.961974,-0.006638,-0.265389,0.064267,0.901793,0.054960,0.427984,-0.024072,0.718538,-0.334688,0.572091,0.210710
0.999927,0.003180,-0.011649,0.000076,0.996645,0.054255,-0.061207,0.003054,0.988946,0.030458,0.094933,0.109752,0.994186,-0.007322,0.006467,0.107229,0.996374,-0.039294,-0.075387,-0.003341,0.993408,-0.023658,0.089040,-0.068206,0.997805,0.003183,-0.010948,-0.065229,0.999428,-0.000032,0.027712,-0.019397,0.961910,0.010463,-0.256338,-0.094395,0.891516,-0.118984,0.432233,0.064935,0.716386,0.338997,0.573584,-0.207061,0.961294,0.001860,-0.267150,0.067385,0.891002,0.148031,0.422407,-0.075987,0.718507,-0.334565,0.572133,0.210895
0.999926,0.003215,-0.011745,0.000222,0.996638,0.054180,-0.061374,0.003200,0.988949,0.030378,0.095116,0.109592,0.994206,-0.007103,0.006457,0.107064,0.996385,-0.039358,-0.075216,-0.003197,0.993378,-0.023666,0.089197,-0.068434,0.997791,0.003234,-0.010948,-0.065449,0.999441,-0.000040,0.027362,-0.019214,0.961067,0.004013,-0.258825,-0.096666,0.878012,-0.192414,0.424913,0.107336,0.716358,0.338856,0.573757,-0.206908,0.960108,0.009366,-0.270381,0.070709,0.871008,0.235707,0.412343,-0.125541,0.718440,-0.334545,0.572194,0.210991
0.999925,0.003230,-0.011802,0.000499,0.996627,0.054150,-0.061560,0.003481,0.988953,0.030334,0.095104,0.109579,0.994210,-0.006945,0.006350,0.107043,0.996394,-0.039396,-0.075094,-0.002921,0.993369,-0.023703,0.089332,-0.068378,0.997794,0.003236,-0.011004,-0.065382,0.999452,-0.000087,0.027113,-0.018991,0.959966,-0.001483,-0.262086,-0.098868,0.859344,-0.260162,0.415036,0.146928,0.716534,0.338475,0.573948,-0.206393,0.958527,0.015572,-0.274747,0.074147,0.844000,0.315176,0.398843,-0.171032,0.718507,-0.334464,0.572196,0.210888
0.999924,0.003246,-0.011862,0.000770,0.996617,0.054117,-0.061739,0.003757,0.988958,0.030293,0.095093,0.109548,0.994216,-0.006792,0.006236,0.107003,0.996402,-0.039438,-0.074971,-0.002651,0.993365,-0.023757,0.089437,-0.068278,0.997801,0.003216,-0.011081,-0.065269,0.999463,-0.000150,0.026870,-0.018749,0.958679,-0.005946,-0.265917,-0.100931,0.837255,-0.320760,0.403417,0.182678,0.716700,0.338154,0.574105,-0.205907,0.956732,0.020209,-0.279759,0.077401,0.813129,0.383813,0.383458,-0.210876,0.718567,-0.334436,0.572167,0.210807
0.999923,0.003267,-0.011926,0.001027,0.996608,0.054084,-0.061901,0.004016,0.988967,0.030263,0.095084,0.109483,0.994226,-0.006646,0.006110,0.106928,0.996411,-0.039484,-0.074842,-0.002396,0.993372,-0.023845,0.089482,-0.068090,0.997813,0.003153,-0.011196,-0.065064,0.999474,-0.000241,0.026643,-0.018469,0.957310,-0.009374,-0.270023,-0.102745,0.813578,-0.373392,0.391001,0.213978,0.716857,0.337923,0.574189,-0.205502,0.954925,0.023283,-0.284833,0.080286,0.781855,0.440199,0.367934,-0.244035,0.718628,-0.334474,0.572072,0.210793
0.999922,0.003290,-0.011953,0.001178,0.996601,0.054015,-0.062068,0.004168,0.988997,0.030224,0.095003,0.109294,0.994248,-0.006565,0.005996,0.106734,0.996415,-0.039554,-0.074747,-0.002249,0.993379,-0.023932,0.089421,-0.068041,0.997816,0.003058,-0.011334,-0.065000,0.999480,-0.000330,0.026488,-0.018373,0.955992,-0.011844,-0.273929,-0.104412,0.790065,-0.417612,0.378889,0.240503,0.716858,0.337853,0.574325,-0.205234,0.954391,0.023953,-0.286333,0.081099,0.772186,0.455673,0.363299,-0.253191,0.718846,-0.333973,0.572159,0.210607
