body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
0.000162,-0.013283,-0.005840,0.001856,-0.000886,-0.005556,0.003393,-0.011960,-0.000508,0.017992,-0.052332,-0.004077,-0.014099,0.024937,-0.007801,-0.007331,0.019450,-0.053263,0.023888,0.032741,-0.053600,0.004441,-0.053156,0.011206,0.043431,-0.023063,0.025408,-0.026882,-0.115007,-0.018845,-0.053552,-0.147196,-0.056265,-0.032019,-0.020083,-0.003093,0.030717,-0.117222,0.041451,0.052891,-0.164928,0.055556
0.000562,-0.012197,-0.001332,0.000070,-0.003172,-0.001336,0.001262,-0.009609,-0.000455,0.017634,-0.044365,-0.003650,-0.014319,0.025374,-0.003388,-0.007418,0.020413,-0.049353,0.021014,0.030250,-0.049532,0.004671,-0.050318,0.013179,0.062303,-0.006863,0.033878,-0.041248,-0.142231,-0.031367,-0.082043,-0.190907,-0.085276,-0.049317,-0.002468,-0.007655,0.043122,-0.145468,0.058000,0.077494,-0.215708,0.079909
0.001808,-0.009039,0.012243,-0.005289,-0.010156,0.011365,-0.005124,-0.002764,-0.000190,0.016612,-0.020639,-0.002256,-0.014959,0.026532,0.009895,-0.007643,0.023154,-0.037577,0.012440,0.022704,-0.037263,0.005380,-0.041954,0.019124,0.098583,0.025352,0.051750,-0.067690,-0.191903,-0.053322,-0.138185,-0.274138,-0.136551,-0.082215,0.032420,-0.013691,0.066378,-0.197016,0.091976,0.127084,-0.310161,0.130654
0.002879,-0.007861,0.019060,-0.008661,-0.015750,0.017592,-0.010063,0.007044,-0.004852,0.017893,-0.002845,-0.006493,-0.012686,0.024081,0.016883,-0.005761,0.021758,-0.027511,0.006297,0.011698,-0.026727,0.003574,-0.035952,0.021486,0.128213,0.049017,0.063607,-0.091952,-0.238295,-0.076075,-0.195516,-0.355172,-0.181048,-0.114030,0.058416,-0.020857,0.082965,-0.244914,0.119557,0.174218,-0.396541,0.177224
0.003218,-0.009200,0.015709,-0.008368,-0.017068,0.014231,-0.011095,0.015025,-0.012121,0.020813,0.000229,-0.014255,-0.008676,0.019308,0.014081,-0.002764,0.016944,-0.024200,0.005608,0.002705,-0.023210,0.000128,-0.035225,0.019118,0.150840,0.061072,0.068047,-0.112251,-0.281627,-0.099736,-0.252570,-0.433738,-0.219461,-0.142672,0.072350,-0.030049,0.093080,-0.289320,0.138552,0.219157,-0.475303,0.216809
0.002254,-0.007718,0.021153,-0.006472,-0.018816,0.020002,-0.007914,0.008045,-0.007733,0.019295,-0.003850,-0.009491,-0.006560,0.015485,0.019965,-0.002013,0.014624,-0.008801,0.002555,-0.002992,-0.007653,-0.002782,-0.029886,0.020382,0.167881,0.072264,0.073562,-0.126320,-0.310047,-0.115066,-0.306068,-0.496713,-0.244590,-0.165116,0.084923,-0.033052,0.098924,-0.318377,0.156496,0.262731,-0.535311,0.255558
0.001230,-0.005938,0.027397,-0.004735,-0.019740,0.026567,-0.004292,-0.001555,-0.001840,0.016604,-0.009348,-0.003083,-0.005934,0.013360,0.026439,-0.003032,0.012515,0.007822,-0.001463,-0.006595,0.009023,-0.005311,-0.024475,0.023408,0.178810,0.079121,0.078578,-0.134794,-0.327298,-0.123320,-0.353938,-0.545628,-0.259842,-0.181053,0.092648,-0.032032,0.100853,-0.335885,0.170885,0.302414,-0.580339,0.289044
0.001542,-0.006285,0.026400,-0.004790,-0.018490,0.025531,-0.003888,-0.001331,-0.004505,0.016105,-0.010393,-0.005811,-0.006301,0.013685,0.025347,-0.005268,0.008239,0.014780,-0.004929,-0.009349,0.015873,-0.007453,-0.023361,0.026302,0.183650,0.078157,0.081477,-0.138528,-0.338222,-0.126089,-0.393094,-0.582519,-0.267929,-0.190431,0.092021,-0.029163,0.099715,-0.346738,0.179545,0.335247,-0.613952,0.313007
0.001962,-0.004615,0.020410,-0.006248,-0.017575,0.019298,-0.004206,-0.004615,-0.012579,0.012532,-0.010819,-0.013561,-0.007243,0.012000,0.019133,-0.007663,0.000016,0.012599,-0.008820,-0.012140,0.013337,-0.008848,-0.018941,0.019064,0.183276,0.077869,0.072654,-0.138388,-0.336567,-0.133692,-0.420497,-0.598456,-0.279133,-0.193272,0.091687,-0.034831,0.096808,-0.344845,0.172766,0.358772,-0.628063,0.316086
0.002204,-0.001839,0.012421,-0.008500,-0.017505,0.010975,-0.005198,-0.009828,-0.022060,0.007580,-0.010496,-0.022497,-0.008353,0.009122,0.010905,-0.009088,-0.008045,0.002383,-0.011239,-0.013627,0.002699,-0.008894,-0.013537,0.005338,0.179212,0.077233,0.056289,-0.134987,-0.326391,-0.143381,-0.433976,-0.595986,-0.289919,-0.189821,0.090655,-0.045933,0.093865,-0.334330,0.155092,0.372244,-0.624949,0.302084
0.002096,0.000847,0.017029,-0.008475,-0.024523,0.015525,-0.005695,-0.015958,-0.015096,0.005687,-0.013006,-0.015212,-0.007183,0.012630,0.015715,-0.008661,-0.004166,0.012125,-0.008590,-0.010694,0.012534,-0.009521,-0.007680,0.006201,0.170663,0.076772,0.053926,-0.131185,-0.309901,-0.135195,-0.435345,-0.577124,-0.279346,-0.183054,0.089548,-0.041855,0.089738,-0.317472,0.148710,0.373584,-0.605953,0.293371
