body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.011700,0.014600,-0.001350,-0.009634,0.014617,-0.001301,-0.009170,0.014807,-0.001318,-0.004704,0.016055,-0.001990,-0.011761,0.014613,-0.001322,-0.019142,0.013950,-0.001154,-0.026129,0.014536,-0.000041,-0.012286,0.014555,-0.001416,-0.027311,0.013812,0.000553,-0.024122,0.022301,0.002665,-0.013416,0.015700,0.021639,-0.024190,0.013633,-0.001292,-0.020866,0.008052,0.000430,-0.010928,0.018241,0.020228
-0.010875,0.011625,-0.001500,-0.009379,0.011698,-0.001410,-0.008364,0.011631,-0.001466,-0.004720,0.012191,-0.002025,-0.010540,0.011698,-0.001520,-0.017977,0.010977,-0.001346,-0.025154,0.011323,-0.000178,-0.011413,0.011550,-0.001561,-0.026235,0.010820,0.000331,-0.026255,0.022890,0.002361,-0.013634,0.012509,0.026957,-0.022559,0.010598,-0.001544,-0.022581,0.001884,0.000096,-0.010674,0.016266,0.025521
-0.008350,0.002625,-0.001950,-0.008555,0.002874,-0.001733,-0.005851,0.002026,-0.001906,-0.004607,0.000524,-0.002141,-0.006807,0.002887,-0.002120,-0.014365,0.001990,-0.001931,-0.022068,0.001618,-0.000606,-0.008746,0.002458,-0.001995,-0.022743,0.001741,-0.000284,-0.029173,0.020754,0.001568,-0.013057,0.003498,0.036668,-0.017394,0.001414,-0.002260,-0.023939,-0.013164,-0.000812,-0.008731,0.009528,0.035153
-0.005300,-0.002450,-0.002575,-0.006255,-0.002054,-0.002244,-0.002139,-0.003086,-0.002483,-0.004002,-0.005877,-0.002205,-0.003017,-0.002033,-0.002872,-0.009733,-0.002532,-0.002720,-0.016700,-0.002875,-0.001483,-0.005643,-0.002681,-0.002615,-0.018795,-0.002876,-0.001357,-0.029932,0.021683,0.000494,-0.010844,-0.002234,0.045626,-0.012780,-0.003255,-0.002756,-0.024295,-0.023565,-0.001171,-0.005937,0.005792,0.044550
-0.003275,-0.001025,-0.003050,-0.003660,-0.000587,-0.002678,0.000855,-0.001118,-0.002899,-0.003302,-0.003781,-0.002165,-0.001095,-0.000568,-0.003386,-0.006448,-0.000304,-0.003300,-0.011792,0.000104,-0.002352,-0.003677,-0.001258,-0.003096,-0.016513,-0.000662,-0.002371,-0.030059,0.027936,-0.000235,-0.008540,-0.002249,0.054373,-0.011163,-0.001029,-0.002790,-0.025563,-0.026605,-0.000689,-0.004079,0.007490,0.054042
-0.005450,0.002525,-0.002825,-0.006572,0.002840,-0.002572,-0.001648,0.002876,-0.002775,-0.003754,0.000931,-0.002408,-0.002678,0.002863,-0.003055,-0.006844,0.002977,-0.002981,-0.011220,0.002784,-0.002164,-0.005786,0.002323,-0.002864,-0.017602,0.003666,-0.002699,-0.033419,0.035376,-0.000367,-0.010571,0.000782,0.061388,-0.011895,0.003279,-0.002239,-0.028709,-0.026271,0.000273,-0.005795,0.011886,0.061724
-0.005300,0.005250,-0.002200,-0.007308,0.005433,-0.002073,-0.002227,0.005902,-0.002255,-0.001511,0.004719,-0.002405,-0.001926,0.005463,-0.002317,-0.005420,0.004923,-0.002217,-0.008913,0.003511,-0.001500,-0.005556,0.005074,-0.002230,-0.016510,0.007107,-0.002562,-0.033794,0.040856,-0.000021,-0.010395,0.003521,0.066962,-0.009952,0.006690,-0.001332,-0.028156,-0.025572,0.001587,-0.004944,0.015628,0.067881
0.003625,0.004250,-0.001425,0.001731,0.004473,-0.001259,0.006428,0.005062,-0.001411,0.007127,0.004165,-0.001543,0.006909,0.004505,-0.001576,0.003235,0.003249,-0.001428,0.001134,0.000765,-0.000915,0.003353,0.004050,-0.001457,-0.007711,0.006668,-0.002117,-0.024982,0.041330,0.000761,-0.001387,0.002686,0.071554,-0.000340,0.006230,-0.000269,-0.018358,-0.027558,0.003154,0.004692,0.015388,0.072938
0.007675,0.002775,-0.000800,0.006285,0.003049,-0.000587,0.010802,0.003400,-0.000743,0.012568,0.002867,-0.001071,0.010146,0.003076,-0.001005,0.006854,0.001290,-0.000834,0.007207,-0.001812,-0.000740,0.007475,0.002591,-0.000823,-0.001428,0.005359,-0.001781,-0.018386,0.039617,0.001251,0.003728,-0.000312,0.073447,0.003912,0.005009,0.000506,-0.014255,-0.029476,0.004213,0.008263,0.012628,0.075160
0.004850,0.001525,-0.000650,0.004112,0.001826,-0.000414,0.008758,0.001667,-0.000606,0.012163,0.001358,-0.001253,0.006197,0.001844,-0.000893,0.003669,-0.000040,-0.000735,0.006311,-0.003021,-0.001062,0.004772,0.001393,-0.000659,-0.000796,0.003824,-0.001746,-0.017084,0.036786,0.001333,0.002548,-0.004077,0.072946,0.000691,0.003628,0.000612,-0.017690,-0.030649,0.004404,0.004152,0.008769,0.074709
