body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
0.046256,-0.010303,0.783686,0.047009,0.106974,0.651317,0.031932,0.126267,0.346063,-0.027007,0.139423,0.034523,0.047844,-0.125925,0.649833,0.041350,-0.142344,0.344181,-0.011877,-0.153788,0.031639,0.041307,-0.010417,0.827586,0.067934,0.129510,1.071749,0.106329,0.159052,0.894023,0.237137,0.088911,0.788946,0.056653,-0.151236,1.072200,0.092531,-0.184333,0.894574,0.228532,-0.125251,0.789290
0.046022,-0.010011,0.783659,0.046817,0.107267,0.651291,0.031749,0.126563,0.346037,-0.027101,0.139744,0.034483,0.047609,-0.125633,0.649806,0.040967,-0.142065,0.344158,-0.012399,-0.153497,0.031638,0.041061,-0.010126,0.827558,0.067388,0.129786,1.071760,0.105847,0.159498,0.894076,0.236869,0.089225,0.789378,0.056169,-0.150963,1.072174,0.092114,-0.184172,0.894583,0.228313,-0.124886,0.789694
0.045821,-0.009838,0.783626,0.046634,0.107442,0.651260,0.031597,0.126732,0.346005,-0.027196,0.139911,0.034442,0.047422,-0.125458,0.649772,0.040631,-0.141905,0.344127,-0.012883,-0.153335,0.031631,0.040850,-0.009955,0.827523,0.066885,0.129943,1.071763,0.105279,0.159967,0.894117,0.236592,0.089411,0.790024,0.055751,-0.150812,1.072138,0.091628,-0.184258,0.894578,0.228105,-0.124601,0.790310
0.045688,-0.009906,0.783581,0.046474,0.107382,0.651221,0.031515,0.126644,0.345961,-0.027285,0.139765,0.034397,0.047336,-0.125518,0.649721,0.040393,-0.141986,0.344080,-0.013282,-0.153432,0.031614,0.040711,-0.010028,0.827478,0.066478,0.129856,1.071749,0.104680,0.160328,0.894139,0.236347,0.089365,0.790845,0.055474,-0.150907,1.072084,0.091156,-0.184698,0.894550,0.227964,-0.124505,0.791100
0.045609,-0.009936,0.783523,0.046384,0.107360,0.651171,0.031512,0.126609,0.345905,-0.027356,0.139676,0.034354,0.047302,-0.125539,0.649657,0.040242,-0.142007,0.344018,-0.013551,-0.153450,0.031572,0.040625,-0.010062,0.827419,0.066133,0.129828,1.071708,0.104082,0.160835,0.894137,0.236158,0.089322,0.791849,0.055240,-0.150942,1.072028,0.090656,-0.185200,0.894531,0.227867,-0.124369,0.792092
0.045557,-0.009947,0.783459,0.046328,0.107358,0.651114,0.031549,0.126599,0.345845,-0.027417,0.139614,0.034311,0.047293,-0.125540,0.649586,0.040135,-0.141998,0.343948,-0.013754,-0.153428,0.031519,0.040564,-0.010078,0.827354,0.065818,0.129829,1.071654,0.103478,0.161445,0.894129,0.236005,0.089275,0.793020,0.055027,-0.150948,1.071972,0.090134,-0.185763,0.894523,0.227801,-0.124206,0.793262
0.045391,-0.009835,0.783410,0.046121,0.107474,0.651068,0.031446,0.126724,0.345794,-0.027506,0.139713,0.034257,0.047195,-0.125424,0.649535,0.039968,-0.141888,0.343899,-0.014000,-0.153339,0.031486,0.040393,-0.009969,0.827304,0.065429,0.129974,1.071600,0.102745,0.162250,0.894122,0.235735,0.089353,0.794304,0.054764,-0.150811,1.071939,0.089508,-0.186251,0.894542,0.227635,-0.123893,0.794561
0.045345,-0.009737,0.783371,0.046036,0.107575,0.651031,0.031460,0.126836,0.345755,-0.027478,0.139803,0.034215,0.047216,-0.125322,0.649493,0.039918,-0.141801,0.343860,-0.014110,-0.153288,0.031459,0.040342,-0.009875,0.827265,0.065158,0.130114,1.071552,0.102126,0.163079,0.894128,0.235589,0.089416,0.795698,0.054629,-0.150680,1.071919,0.089007,-0.186785,0.894586,0.227603,-0.123581,0.795977
0.045536,-0.009665,0.783353,0.046190,0.107653,0.651017,0.031703,0.126926,0.345738,-0.027221,0.139880,0.034195,0.047471,-0.125244,0.649472,0.040097,-0.141758,0.343842,-0.013954,-0.153308,0.031449,0.040527,-0.009807,0.827246,0.065121,0.130241,1.071516,0.101746,0.163903,0.894153,0.235680,0.089461,0.797167,0.054750,-0.150562,1.071928,0.088773,-0.187353,0.894668,0.227823,-0.123278,0.797479
0.045652,-0.009626,0.783339,0.046287,0.107697,0.651008,0.031892,0.126972,0.345725,-0.026975,0.139917,0.034172,0.047621,-0.125199,0.649453,0.040192,-0.141749,0.343826,-0.013822,-0.153360,0.031430,0.040641,-0.009771,0.827232,0.065100,0.130328,1.071480,0.101390,0.164664,0.894179,0.235738,0.089403,0.798636,0.054785,-0.150480,1.071939,0.088437,-0.187965,0.894755,0.227933,-0.123075,0.798984
0.045730,-0.009604,0.783327,0.046355,0.107726,0.651001,0.032053,0.126993,0.345714,-0.026734,0.139934,0.034145,0.047719,-0.125170,0.649436,0.040244,-0.141759,0.343812,-0.013702,-0.153429,0.031407,0.040718,-0.009752,0.827220,0.065089,0.130394,1.071446,0.101062,0.165374,0.894206,0.235782,0.089298,0.800084,0.054778,-0.150417,1.071952,0.088066,-0.188579,0.894844,0.227989,-0.122927,0.800467
0.045835,-0.009411,0.783329,0.046416,0.107924,0.651006,0.032291,0.127182,0.345711,-0.026370,0.140093,0.034117,0.047864,-0.124971,0.649434,0.040292,-0.141600,0.343815,-0.013659,-0.153346,0.031413,0.040825,-0.009562,0.827222,0.065119,0.130641,1.071418,0.100765,0.166234,0.894235,0.235831,0.089411,0.801472,0.054873,-0.150174,1.071981,0.087805,-0.188979,0.894947,0.228097,-0.122575,0.801896
0.045887,-0.009291,0.783325,0.046429,0.108050,0.651006,0.032449,0.127293,0.345704,-0.026114,0.140167,0.034090,0.047951,-0.124845,0.649425,0.040295,-0.141516,0.343810,-0.013653,-0.153338,0.031412,0.040880,-0.009445,0.827218,0.065111,0.130814,1.071385,0.100452,0.166974,0.894256,0.235833,0.089455,0.802781,0.054920,-0.150006,1.072003,0.087519,-0.189411,0.895040,0.228148,-0.122312,0.803247
0.045835,-0.009318,0.783307,0.046344,0.108029,0.650993,0.032453,0.127244,0.345685,-0.026067,0.140074,0.034062,0.047924,-0.124865,0.649402,0.040209,-0.141584,0.343791,-0.013713,-0.153482,0.031391,0.040830,-0.009475,0.827200,0.065027,0.130836,1.071337,0.100083,0.167515,0.894258,0.235743,0.089353,0.803979,0.054870,-0.149986,1.072010,0.087155,-0.189949,0.895115,0.228091,-0.122224,0.804487
0.045903,-0.009287,0.783284,0.046397,0.108066,0.650974,0.032564,0.127238,0.345662,-0.025923,0.140021,0.034031,0.048004,-0.124828,0.649374,0.040239,-0.141595,0.343767,-0.013702,-0.153551,0.031372,0.040899,-0.009446,0.827178,0.065094,0.130908,1.071286,0.099884,0.168060,0.894254,0.235788,0.089318,0.805062,0.054952,-0.149917,1.072007,0.086939,-0.190389,0.895173,0.228153,-0.122112,0.805604
0.046031,-0.009225,0.783256,0.046518,0.108133,0.650951,0.032729,0.127257,0.345634,-0.025730,0.139991,0.033996,0.048137,-0.124761,0.649341,0.040327,-0.141574,0.343738,-0.013658,-0.153579,0.031353,0.041028,-0.009386,0.827150,0.065239,0.131005,1.071232,0.099787,0.168589,0.894244,0.235910,0.089333,0.806029,0.055102,-0.149821,1.071995,0.086816,-0.190758,0.895220,0.228281,-0.122003,0.806603
0.045950,-0.009020,0.783215,0.046410,0.108341,0.650912,0.032632,0.127417,0.345591,-0.025821,0.140097,0.033951,0.048077,-0.124553,0.649298,0.040287,-0.141398,0.343696,-0.013685,-0.153441,0.031309,0.040949,-0.009182,0.827109,0.065192,0.131224,1.071178,0.099515,0.169217,0.894234,0.235837,0.089536,0.806871,0.055069,-0.149605,1.071957,0.086533,-0.190951,0.895232,0.228220,-0.121776,0.807457
0.045910,-0.008858,0.783190,0.046348,0.108504,0.650888,0.032557,0.127535,0.345565,-0.025881,0.140173,0.033920,0.048047,-0.124389,0.649272,0.040279,-0.141264,0.343671,-0.013667,-0.153340,0.031281,0.040911,-0.009021,0.827084,0.065203,0.131400,1.071138,0.099331,0.169768,0.894236,0.235834,0.089723,0.807620,0.055075,-0.149430,1.071935,0.086314,-0.191159,0.895262,0.228211,-0.121648,0.808220
0.045951,-0.008784,0.783201,0.046379,0.108576,0.650897,0.032527,0.127564,0.345575,-0.025878,0.140185,0.033923,0.048076,-0.124318,0.649284,0.040333,-0.141219,0.343684,-0.013562,-0.153323,0.031286,0.040956,-0.008945,0.827096,0.065327,0.131493,1.071130,0.099288,0.170198,0.894270,0.235949,0.089841,0.808294,0.055152,-0.149336,1.071954,0.086185,-0.191433,0.895331,0.228285,-0.121682,0.808914
