body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
0.999932,0.003107,-0.011249,-0.000279,0.996659,0.054408,-0.060848,0.002699,0.988924,0.030628,0.094967,0.109872,0.994153,-0.007928,0.007480,0.107434,0.996319,-0.038773,-0.076360,-0.003690,0.993593,-0.023476,0.088184,-0.066676,0.997896,0.002709,-0.011815,-0.063698,0.999365,-0.000211,0.029433,-0.020094,0.992650,0.093200,-0.065993,-0.040053,0.902775,0.204881,0.267889,-0.266941,0.897888,0.236594,0.109693,-0.354666,0.993307,-0.097367,-0.062133,0.000271,0.912435,-0.195408,0.276327,0.230048,0.926198,-0.239293,0.107493,0.270817
0.999930,0.003108,-0.011382,-0.000337,0.996658,0.054423,-0.060860,0.002643,0.988935,0.030649,0.094845,0.109874,0.994162,-0.007805,0.006941,0.107390,0.996333,-0.038920,-0.076109,-0.003747,0.993538,-0.023514,0.088385,-0.067207,0.997864,0.002920,-0.011475,-0.064237,0.999383,-0.000159,0.028902,-0.019981,0.992605,0.093657,-0.066181,-0.039808,0.903087,0.204995,0.266740,-0.266947,0.897975,0.236697,0.108048,-0.354881,0.993263,-0.097687,-0.062330,0.000241,0.912723,-0.195512,0.275106,0.230282,0.926350,-0.239309,0.105690,0.270994
0.999929,0.003118,-0.011493,-0.000305,0.996656,0.054407,-0.060913,0.002676,0.988943,0.030632,0.094774,0.109871,0.994169,-0.007672,0.006561,0.107357,0.996347,-0.039066,-0.075852,-0.003716,0.993487,-0.023563,0.088603,-0.067660,0.997838,0.003078,-0.011188,-0.064694,0.999399,-0.000105,0.028429,-0.019828,0.992551,0.094487,-0.066016,-0.039450,0.903534,0.205062,0.264971,-0.267144,0.898081,0.236660,0.105278,-0.355470,0.993208,-0.098356,-0.062167,0.000175,0.913135,-0.195610,0.273246,0.230775,0.926589,-0.239194,0.102694,0.271429
0.999928,0.003147,-0.011562,-0.000092,0.996651,0.054331,-0.061050,0.002887,0.988944,0.030542,0.094801,0.109862,0.994172,-0.007519,0.006495,0.107344,0.996362,-0.039205,-0.075589,-0.003506,0.993443,-0.023631,0.088852,-0.067956,0.997821,0.003131,-0.011008,-0.064985,0.999414,-0.000046,0.028066,-0.019596,0.992492,0.095662,-0.065502,-0.038959,0.904096,0.205080,0.262692,-0.267482,0.898232,0.236451,0.101495,-0.356326,0.993142,-0.099337,-0.061658,0.000135,0.913633,-0.195711,0.270841,0.231553,0.926881,-0.238905,0.098626,0.272191
0.999927,0.003180,-0.011649,0.000076,0.996645,0.054255,-0.061207,0.003054,0.988946,0.030458,0.094933,0.109752,0.994186,-0.007322,0.006467,0.107229,0.996374,-0.039294,-0.075387,-0.003341,0.993408,-0.023658,0.089040,-0.068206,0.997805,0.003183,-0.010948,-0.065229,0.999428,-0.000032,0.027712,-0.019397,0.992419,0.097077,-0.064821,-0.038449,0.904755,0.205074,0.259858,-0.268025,0.898432,0.236045,0.096648,-0.357439,0.993053,-0.100647,-0.060965,0.000018,0.914232,-0.195875,0.267918,0.232450,0.927234,-0.238472,0.093548,0.273162
0.999926,0.003215,-0.011745,0.000222,0.996638,0.054180,-0.061374,0.003200,0.988949,0.030378,0.095116,0.109592,0.994206,-0.007103,0.006457,0.107064,0.996385,-0.039358,-0.075216,-0.003197,0.993378,-0.023666,0.089197,-0.068434,0.997791,0.003234,-0.010948,-0.065449,0.999441,-0.000040,0.027362,-0.019214,0.992330,0.098697,-0.064041,-0.037922,0.905484,0.205077,0.256584,-0.268714,0.898689,0.235436,0.090860,-0.358709,0.992942,-0.102207,-0.060161,-0.000143,0.914903,-0.196097,0.264575,0.233451,0.927626,-0.237842,0.087580,0.274354
0.999925,0.003230,-0.011802,0.000499,0.996627,0.054150,-0.061560,0.003481,0.988953,0.030334,0.095104,0.109579,0.994210,-0.006945,0.006350,0.107043,0.996394,-0.039396,-0.075094,-0.002921,0.993369,-0.023703,0.089332,-0.068378,0.997794,0.003236,-0.011004,-0.065382,0.999452,-0.000087,0.027113,-0.018991,0.992236,0.100448,-0.063114,-0.037347,0.906245,0.205043,0.253092,-0.269485,0.899016,0.234550,0.084373,-0.360052,0.992817,-0.103966,-0.059211,-0.000266,0.915573,-0.196380,0.261017,0.234588,0.928014,-0.236982,0.080959,0.275816
0.999924,0.003246,-0.011862,0.000770,0.996617,0.054117,-0.061739,0.003757,0.988958,0.030293,0.095093,0.109548,0.994216,-0.006792,0.006236,0.107003,0.996402,-0.039438,-0.074971,-0.002651,0.993365,-0.023757,0.089437,-0.068278,0.997801,0.003216,-0.011081,-0.065269,0.999463,-0.000150,0.026870,-0.018749,0.992129,0.102286,-0.062180,-0.036748,0.907028,0.205022,0.249420,-0.270289,0.899395,0.233438,0.077281,-0.361418,0.992675,-0.105841,-0.058255,-0.000372,0.916250,-0.196718,0.257280,0.235787,0.928400,-0.235898,0.073771,0.277458
0.999923,0.003267,-0.011926,0.001027,0.996608,0.054084,-0.061901,0.004016,0.988967,0.030263,0.095084,0.109483,0.994226,-0.006646,0.006110,0.106928,0.996411,-0.039484,-0.074842,-0.002396,0.993372,-0.023845,0.089482,-0.068090,0.997813,0.003153,-0.011196,-0.065064,0.999474,-0.000241,0.026643,-0.018469,0.992017,0.104136,-0.061262,-0.036118,0.907818,0.204987,0.245690,-0.271076,0.899812,0.232103,0.069802,-0.362759,0.992521,-0.107781,-0.057324,-0.000429,0.916903,-0.197112,0.253486,0.237027,0.928762,-0.234626,0.066222,0.279226
0.999922,0.003290,-0.011953,0.001178,0.996601,0.054015,-0.062068,0.004168,0.988997,0.030224,0.095003,0.109294,0.994248,-0.006565,0.005996,0.106734,0.996415,-0.039554,-0.074747,-0.002249,0.993379,-0.023932,0.089421,-0.068041,0.997816,0.003058,-0.011334,-0.065000,0.999480,-0.000330,0.026488,-0.018373,0.991896,0.105955,-0.060351,-0.035693,0.908524,0.204991,0.242011,-0.272017,0.900155,0.230603,0.062165,-0.364251,0.992363,-0.109718,-0.056362,-0.000644,0.917561,-0.197453,0.249816,0.238087,0.929150,-0.233159,0.058618,0.280858
