joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.075509,0.044354,-0.039489,0.102882,-0.083976,-0.008710,0.202613,-0.116801,0.081087,0.149618,0.159683,-0.190058,-0.190058,-0.166087,-0.196545,0.192839,-0.192839,-0.095706,0.065373,-0.572459,0.572459,0.655516,0.655516,0.185355,-0.185355,-0.309394,-0.309394,-0.051518,-0.051518
0.075757,0.045118,-0.039152,0.102916,-0.084265,-0.008585,0.202733,-0.117726,0.080296,0.149404,0.159645,-0.189359,-0.189359,-0.166941,-0.196201,0.193589,-0.193589,-0.095592,0.065958,-0.572795,0.572795,0.653060,0.653060,0.185574,-0.185574,-0.310444,-0.310444,-0.051789,-0.051789
0.075870,0.045856,-0.038916,0.102862,-0.084579,-0.008472,0.202670,-0.118670,0.079574,0.149360,0.159630,-0.188036,-0.188036,-0.167590,-0.196008,0.195060,-0.195060,-0.095361,0.066450,-0.573446,0.573446,0.648283,0.648283,0.185960,-0.185960,-0.312542,-0.312542,-0.052262,-0.052262
0.075712,0.046540,-0.038883,0.102630,-0.084944,-0.008384,0.202244,-0.119652,0.078988,0.149653,0.159661,-0.186216,-0.186216,-0.167828,-0.196115,0.197190,-0.197190,-0.094894,0.066757,-0.574379,0.574379,0.641446,0.641446,0.186422,-0.186422,-0.315690,-0.315690,-0.052825,-0.052825
0.075554,0.047133,-0.038822,0.102397,-0.085209,-0.008398,0.201692,-0.120469,0.078453,0.150187,0.159679,-0.184045,-0.184045,-0.168217,-0.196345,0.199889,-0.199889,-0.094352,0.066981,-0.575547,0.575547,0.632907,0.632907,0.186852,-0.186852,-0.319893,-0.319893,-0.053361,-0.053361
0.075397,0.047680,-0.038746,0.102163,-0.085425,-0.008464,0.201078,-0.121204,0.077944,0.150841,0.159689,-0.181662,-0.181662,-0.168681,-0.196637,0.203045,-0.203045,-0.093772,0.067164,-0.576900,0.576900,0.623079,0.623079,0.187151,-0.187151,-0.325153,-0.325153,-0.053787,-0.053787
0.075110,0.048061,-0.038850,0.102045,-0.085565,-0.008566,0.200488,-0.121633,0.077559,0.151156,0.159737,-0.179182,-0.179182,-0.168916,-0.197021,0.206535,-0.206535,-0.093389,0.067255,-0.578378,0.578378,0.612382,0.612382,0.187246,-0.187246,-0.331445,-0.331445,-0.054070,-0.054070
0.074845,0.048452,-0.038901,0.101922,-0.085714,-0.008701,0.199876,-0.121958,0.077192,0.151454,0.159715,-0.176698,-0.176698,-0.169165,-0.197388,0.210231,-0.210231,-0.093021,0.067327,-0.579918,0.579918,0.601221,0.601221,0.187107,-0.187107,-0.338672,-0.338672,-0.054220,-0.054220
0.074622,0.048860,-0.038847,0.101789,-0.085881,-0.008900,0.199224,-0.122073,0.076863,0.151720,0.159552,-0.174288,-0.174288,-0.169442,-0.197718,0.214007,-0.214007,-0.092684,0.067361,-0.581451,0.581451,0.589955,0.589955,0.186737,-0.186737,-0.346648,-0.346648,-0.054276,-0.054276
0.074327,0.049117,-0.038946,0.101590,-0.086085,-0.009113,0.198552,-0.122251,0.076603,0.151839,0.159254,-0.172003,-0.172003,-0.169551,-0.197877,0.217755,-0.217755,-0.092419,0.067345,-0.582919,0.582919,0.578872,0.578872,0.186166,-0.186166,-0.355106,-0.355106,-0.054286,-0.054286
