joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.012400,0.038200,0.016850,0.001700,-0.014450,0.006250,0.006000,-0.046250,-0.039550,-0.010700,-0.001900,0.034920,0.034920,-0.042700,0.017200,0.037526,-0.037526,0.005700,0.029250,-0.016776,0.016776,-0.122778,-0.122778,0.010952,-0.010952,-0.052469,-0.052469,-0.013572,-0.013572
0.009025,0.037550,0.014325,-0.000500,-0.015075,0.005950,0.001425,-0.046725,-0.037825,-0.006450,-0.001325,0.050535,0.050535,-0.037575,0.013425,0.055539,-0.055539,0.008625,0.026925,-0.024678,0.024678,-0.180819,-0.180819,0.015127,-0.015127,-0.078689,-0.078689,-0.018616,-0.018616
-0.001125,0.035550,0.006725,-0.007150,-0.016975,0.005025,-0.012225,-0.048150,-0.032700,0.006225,0.000400,0.078592,0.078592,-0.022175,0.002150,0.090026,-0.090026,0.017450,0.019975,-0.039608,0.039608,-0.290375,-0.290375,0.021200,-0.021200,-0.131155,-0.131155,-0.025890,-0.025890
-0.007900,0.031925,0.002350,-0.011625,-0.015750,0.001850,-0.024450,-0.044975,-0.028025,0.020675,0.001225,0.099783,0.099783,-0.015675,-0.008425,0.120715,-0.120715,0.025225,0.013275,-0.052531,0.052531,-0.384412,-0.384412,0.022298,-0.022298,-0.183773,-0.183773,-0.027464,-0.027464
-0.007875,0.028500,0.003425,-0.011675,-0.012025,-0.002000,-0.029150,-0.038800,-0.026100,0.029700,0.000700,0.113832,0.113832,-0.021325,-0.013050,0.146368,-0.146368,0.028050,0.010175,-0.063024,0.063024,-0.459171,-0.459171,0.018206,-0.018206,-0.236589,-0.236589,-0.024069,-0.024069
-0.011100,0.023200,-0.000700,-0.008800,-0.008900,-0.004200,-0.030100,-0.029100,-0.022350,0.024225,0.001450,0.121576,0.121576,-0.017475,-0.016900,0.166156,-0.166156,0.024075,0.006850,-0.070770,0.070770,-0.513116,-0.513116,0.009852,-0.009852,-0.288802,-0.288802,-0.017731,-0.017731
-0.013800,0.019300,-0.003875,-0.006025,-0.007225,-0.005925,-0.030050,-0.018850,-0.018800,0.015325,0.000650,0.124110,0.124110,-0.012100,-0.018775,0.179647,-0.179647,0.018775,0.004075,-0.075452,0.075452,-0.546437,-0.546437,-0.001083,0.001083,-0.337964,-0.337964,-0.010811,-0.010811
-0.012200,0.019975,0.000075,-0.006400,-0.007900,-0.008350,-0.031600,-0.011000,-0.017400,0.014100,-0.004625,0.122359,0.122359,-0.013150,-0.017425,0.186812,-0.186812,0.017625,0.002650,-0.076830,0.076830,-0.560669,-0.560669,-0.012727,0.012727,-0.380077,-0.380077,-0.005155,-0.005155
-0.012950,0.016625,-0.001125,-0.008300,-0.009275,-0.010300,-0.033100,-0.007325,-0.014725,0.009625,-0.011525,0.117371,0.117371,-0.009650,-0.012225,0.188095,-0.188095,0.015050,0.000450,-0.075026,0.075026,-0.558725,-0.558725,-0.023522,0.023522,-0.410846,-0.410846,-0.001656,-0.001656
-0.015650,0.010975,-0.006850,-0.010825,-0.010650,-0.010825,-0.033825,-0.009650,-0.012150,0.004125,-0.016575,0.110571,0.110571,-0.003375,-0.005825,0.184372,-0.184372,0.012350,-0.001400,-0.070658,0.070658,-0.544526,-0.544526,-0.032483,0.032483,-0.427199,-0.427199,-0.000261,-0.000261
