body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
0.000162,-0.013283,-0.005840,0.001856,-0.000886,-0.005556,0.003393,-0.011960,-0.000508,0.017992,-0.052332,-0.004077,-0.014099,0.024937,-0.007801,-0.007331,0.019450,-0.053263,0.023888,0.032741,-0.053600,0.004441,-0.053156,0.011206,0.058098,-0.017145,0.022638,-0.002409,-0.108379,-0.024024,-0.021207,-0.129513,-0.070332,-0.043486,-0.011069,-0.005943,0.038641,-0.114869,0.046640,0.059983,-0.157663,0.064519
0.000562,-0.012197,-0.001332,0.000070,-0.003172,-0.001336,0.001262,-0.009609,-0.000455,0.017634,-0.044365,-0.003650,-0.014319,0.025374,-0.003388,-0.007418,0.020413,-0.049353,0.021014,0.030250,-0.049532,0.004671,-0.050318,0.013179,0.084378,0.001930,0.029784,-0.004877,-0.132738,-0.039030,-0.034303,-0.166075,-0.105375,-0.065772,0.010501,-0.011696,0.054563,-0.141413,0.065953,0.087852,-0.203427,0.093963
0.001808,-0.009039,0.012243,-0.005289,-0.010156,0.011365,-0.005124,-0.002764,-0.000190,0.016612,-0.020639,-0.002256,-0.014959,0.026532,0.009895,-0.007643,0.023154,-0.037577,0.012440,0.022704,-0.037263,0.005380,-0.041954,0.019124,0.135590,0.039773,0.045141,-0.008135,-0.177341,-0.065693,-0.061238,-0.237772,-0.167290,-0.107368,0.052411,-0.019735,0.084207,-0.188882,0.105634,0.143860,-0.286122,0.155758
0.002879,-0.007861,0.019060,-0.008661,-0.015750,0.017592,-0.010063,0.007044,-0.004852,0.017893,-0.002845,-0.006493,-0.012686,0.024081,0.016883,-0.005761,0.021758,-0.027511,0.006297,0.011698,-0.026727,0.003574,-0.035952,0.021486,0.180298,0.068751,0.054799,-0.010549,-0.219821,-0.092391,-0.093174,-0.312927,-0.219858,-0.145018,0.083525,-0.028088,0.105923,-0.231522,0.139049,0.197764,-0.358067,0.214919
0.003218,-0.009200,0.015709,-0.008368,-0.017068,0.014231,-0.011095,0.015025,-0.012121,0.020813,0.000229,-0.014255,-0.008676,0.019308,0.014081,-0.002764,0.016944,-0.024200,0.005608,0.002705,-0.023210,0.000128,-0.035225,0.019118,0.217800,0.085630,0.057427,-0.010415,-0.259754,-0.118552,-0.129536,-0.390678,-0.264583,-0.176199,0.100481,-0.037592,0.120044,-0.269930,0.163490,0.250934,-0.421803,0.268061
0.002254,-0.007718,0.021153,-0.006472,-0.018816,0.020002,-0.007914,0.008045,-0.007733,0.019295,-0.003850,-0.009491,-0.006560,0.015485,0.019965,-0.002013,0.014624,-0.008801,0.002555,-0.002992,-0.007653,-0.002782,-0.029886,0.020382,0.248993,0.101020,0.061560,-0.005439,-0.284531,-0.134182,-0.167104,-0.456301,-0.295234,-0.197811,0.113978,-0.040077,0.129097,-0.292866,0.186103,0.304912,-0.468734,0.320672
0.001230,-0.005938,0.027397,-0.004735,-0.019740,0.026567,-0.004292,-0.001555,-0.001840,0.016604,-0.009348,-0.003083,-0.005934,0.013360,0.026439,-0.003032,0.012515,0.007822,-0.001463,-0.006595,0.009023,-0.005311,-0.024475,0.023408,0.273008,0.111690,0.065761,0.003525,-0.297675,-0.140150,-0.203123,-0.509598,-0.315638,-0.209866,0.120951,-0.037921,0.134073,-0.304887,0.204602,0.357078,-0.504595,0.367927
0.001542,-0.006285,0.026400,-0.004790,-0.018490,0.025531,-0.003888,-0.001331,-0.004505,0.016105,-0.010393,-0.005811,-0.006301,0.013685,0.025347,-0.005268,0.008239,0.014780,-0.004929,-0.009349,0.015873,-0.007453,-0.023361,0.026302,0.289842,0.114785,0.068595,0.015132,-0.304441,-0.138347,-0.233292,-0.551053,-0.328050,-0.212942,0.118702,-0.033630,0.136750,-0.311694,0.217640,0.403581,-0.533687,0.405204
0.001962,-0.004615,0.020410,-0.006248,-0.017575,0.019298,-0.004206,-0.004615,-0.012579,0.012532,-0.010819,-0.013561,-0.007243,0.012000,0.019133,-0.007663,0.000016,0.012599,-0.008820,-0.012140,0.013337,-0.008848,-0.018941,0.019064,0.300494,0.119098,0.060519,0.028186,-0.299321,-0.139784,-0.253036,-0.570482,-0.341445,-0.207756,0.116436,-0.037836,0.139188,-0.307835,0.216528,0.440510,-0.547381,0.420545
0.002204,-0.001839,0.012421,-0.008500,-0.017505,0.010975,-0.005198,-0.009828,-0.022060,0.007580,-0.010496,-0.022497,-0.008353,0.009122,0.010905,-0.009088,-0.008045,0.002383,-0.011239,-0.013627,0.002699,-0.008894,-0.013537,0.005338,0.306502,0.123056,0.045464,0.042220,-0.286997,-0.142369,-0.258867,-0.569735,-0.350769,-0.195228,0.112938,-0.047428,0.143152,-0.297624,0.206675,0.465557,-0.546641,0.417257
0.002096,0.000847,0.017029,-0.008475,-0.024523,0.015525,-0.005695,-0.015958,-0.015096,0.005687,-0.013006,-0.015212,-0.007183,0.012630,0.015715,-0.008661,-0.004166,0.012125,-0.008590,-0.010694,0.012534,-0.009521,-0.007680,0.006201,0.307019,0.126295,0.044596,0.054868,-0.269894,-0.126570,-0.252125,-0.550984,-0.334277,-0.179080,0.108200,-0.041654,0.146842,-0.283018,0.211174,0.475718,-0.531588,0.418243
0.001973,0.002677,0.022884,-0.007900,-0.028970,0.021417,-0.006252,-0.017876,-0.004940,0.005187,-0.015068,-0.005064,-0.005856,0.016010,0.021802,-0.007993,0.001421,0.024025,-0.004181,-0.006374,0.024569,-0.010050,-0.002774,0.010739,0.303846,0.127345,0.047068,0.067026,-0.250596,-0.104487,-0.233226,-0.518756,-0.303513,-0.160566,0.100693,-0.031597,0.150172,-0.266394,0.221321,0.472070,-0.504701,0.416486
0.002174,0.002692,0.018586,-0.008556,-0.021386,0.017057,-0.007454,-0.010722,-0.004957,0.004411,-0.013687,-0.005528,-0.006439,0.012595,0.017365,-0.008636,-0.001589,0.020308,-0.001199,-0.003889,0.020563,-0.009876,-0.000445,0.007986,0.298762,0.124637,0.041934,0.079898,-0.231433,-0.087938,-0.203370,-0.478388,-0.271098,-0.140860,0.088257,-0.028219,0.152874,-0.250215,0.228109,0.456803,-0.469881,0.405507
0.002203,0.001913,0.012084,-0.010337,-0.013673,0.010380,-0.009178,-0.005194,-0.008978,0.002538,-0.010922,-0.009750,-0.007443,0.009411,0.010693,-0.008747,-0.000111,0.011621,-0.000174,0.000488,0.011710,-0.008956,0.003174,0.004392,0.293092,0.122129,0.035720,0.094138,-0.209181,-0.071145,-0.164487,-0.429465,-0.232917,-0.120945,0.074419,-0.025046,0.154601,-0.231600,0.238929,0.432122,-0.426430,0.395155
0.002070,0.000832,0.006578,-0.012346,-0.009638,0.004668,-0.010568,-0.003984,-0.014970,0.000438,-0.008083,-0.015595,-0.008343,0.008151,0.005074,-0.008249,0.005159,0.002211,-0.001635,0.004655,0.002340,-0.007724,0.006374,0.001679,0.287630,0.118307,0.030209,0.109844,-0.186281,-0.052952,-0.118773,-0.376740,-0.189709,-0.101147,0.057775,-0.020421,0.155662,-0.213212,0.254657,0.400736,-0.379232,0.388180
0.001458,0.001277,0.007572,-0.010939,-0.005464,0.005945,-0.009651,-0.002226,-0.007100,0.000287,-0.005282,-0.007613,-0.007647,0.002573,0.006220,-0.006818,0.002258,0.000791,-0.003278,0.005424,0.000643,-0.004871,0.009329,0.001695,0.284674,0.113552,0.027292,0.128645,-0.163351,-0.031954,-0.066661,-0.322640,-0.141862,-0.078932,0.039732,-0.012742,0.159134,-0.195538,0.274438,0.367912,-0.330792,0.385023
0.000646,0.002473,0.008317,-0.008765,-0.000509,0.007096,-0.007631,-0.001473,0.000799,0.000831,-0.003855,0.000380,-0.006328,-0.002875,0.007234,-0.005469,-0.003472,0.001401,-0.005655,0.003774,0.000939,-0.002677,0.011631,0.000830,0.282513,0.107688,0.023417,0.148264,-0.141461,-0.011943,-0.012325,-0.269722,-0.094613,-0.054861,0.021752,-0.006023,0.164820,-0.179214,0.291093,0.335420,-0.283416,0.379488
-0.000181,0.003693,0.001961,-0.008498,0.005789,0.000917,-0.005731,-0.003467,-0.005082,0.000734,-0.005235,-0.005397,-0.005465,-0.003649,0.001116,-0.005298,-0.006602,-0.002170,-0.009396,0.000798,-0.002700,-0.003573,0.012872,-0.004703,0.278758,0.100741,0.014904,0.165964,-0.121195,0.003328,0.039808,-0.219805,-0.052715,-0.030057,0.005171,-0.004437,0.171895,-0.164718,0.297750,0.304227,-0.238848,0.365464
-0.000135,0.005308,-0.002283,-0.008016,0.009705,-0.003253,-0.005375,-0.002398,-0.004532,-0.000891,0.001016,-0.004402,-0.003645,-0.005979,-0.002893,-0.004414,-0.006172,0.001775,-0.012718,0.001646,0.001157,-0.003066,0.014919,-0.008689,0.277535,0.095177,0.008136,0.185680,-0.100444,0.020221,0.092233,-0.171732,-0.010440,0.000229,-0.007109,-0.002031,0.185320,-0.150186,0.299135,0.280862,-0.196117,0.348245
0.000762,0.006509,-0.002219,-0.007608,0.009305,-0.003261,-0.006801,0.001288,0.002235,-0.003255,0.011816,0.002923,-0.001768,-0.008674,-0.002711,-0.003255,-0.002384,0.011340,-0.013972,0.005871,0.010659,-0.001409,0.016773,-0.009059,0.278106,0.090543,0.005335,0.206439,-0.079998,0.040793,0.142763,-0.126893,0.033812,0.034847,-0.015768,0.003127,0.204024,-0.136363,0.297623,0.265617,-0.156594,0.330424
0.000675,0.009681,-0.008209,-0.004658,0.009988,-0.008883,-0.003226,-0.006491,0.003965,0.000088,0.007736,0.004934,0.001332,-0.011317,-0.008268,-0.001464,-0.002810,0.015602,-0.011906,0.008727,0.014718,-0.001484,0.014666,-0.011954,0.277178,0.083530,0.000506,0.224602,-0.063599,0.058622,0.186770,-0.089272,0.073192,0.069199,-0.024746,0.004840,0.223396,-0.126508,0.288689,0.255072,-0.123979,0.307284
0.000300,0.012554,-0.015154,-0.002069,0.009447,-0.015477,-0.000101,-0.013236,0.002271,0.003933,0.002039,0.003295,0.003124,-0.013662,-0.014925,-0.000370,-0.004490,0.013756,-0.009017,0.009053,0.012771,-0.001809,0.013666,-0.016357,0.275947,0.079640,-0.005238,0.240991,-0.046149,0.074217,0.224340,-0.053691,0.107811,0.102813,-0.029401,0.004106,0.243001,-0.115077,0.275382,0.249786,-0.093028,0.281391
0.000281,0.013013,-0.017953,-0.002817,0.005555,-0.018400,-0.002980,-0.006261,-0.001117,0.003012,0.008110,-0.000218,0.001003,-0.015234,-0.018054,-0.001355,-0.004191,0.004890,-0.007728,0.005913,0.004157,-0.000999,0.019015,-0.021181,0.275632,0.084381,-0.010729,0.256515,-0.022390,0.088166,0.256015,-0.014647,0.137910,0.135470,-0.024929,0.002015,0.262640,-0.096529,0.260484,0.250196,-0.058366,0.255012
0.001035,0.013766,-0.018442,-0.002719,0.001582,-0.019005,-0.003155,-0.007121,-0.004133,0.004504,0.007227,-0.003285,-0.000250,-0.015811,-0.018854,-0.002746,-0.006629,0.003510,-0.009598,0.000968,0.002929,-0.001148,0.022865,-0.023027,0.274094,0.089897,-0.012595,0.268901,-0.000247,0.103440,0.279660,0.020204,0.166202,0.164169,-0.019472,0.001971,0.279340,-0.078538,0.248315,0.253364,-0.027680,0.232165
0.002210,0.014411,-0.016277,-0.001788,-0.000472,-0.016890,-0.000507,-0.015348,-0.005176,0.007729,-0.000111,-0.004280,-0.000001,-0.015118,-0.016828,-0.003859,-0.010659,0.010432,-0.013702,-0.003382,0.009829,-0.002105,0.023267,-0.020957,0.271593,0.093802,-0.010039,0.278421,0.018057,0.120589,0.296293,0.048885,0.193084,0.188732,-0.015306,0.004955,0.292934,-0.063206,0.240117,0.258437,-0.002950,0.214132
0.001838,0.013318,-0.018585,-0.002931,-0.003190,-0.019308,-0.001907,-0.015544,-0.009329,0.002520,-0.004469,-0.008634,0.000646,-0.013258,-0.018960,-0.003283,-0.006514,0.010386,-0.014972,-0.003556,0.010031,-0.002569,0.023121,-0.025271,0.269687,0.098261,-0.013567,0.286725,0.035034,0.128899,0.308798,0.074130,0.207833,0.210372,-0.010015,0.000793,0.304634,-0.048058,0.225759,0.265318,0.018547,0.191091
0.000634,0.010981,-0.022656,-0.003747,-0.004350,-0.023321,-0.003739,-0.011573,-0.013503,-0.004182,-0.005805,-0.013063,0.002566,-0.013341,-0.022541,-0.001165,-0.003769,0.007620,-0.013116,-0.001862,0.007327,-0.003432,0.022137,-0.030916,0.267797,0.102110,-0.018394,0.293352,0.049918,0.132931,0.318103,0.095378,0.215172,0.228101,-0.004516,-0.005297,0.313471,-0.033938,0.210523,0.271473,0.036312,0.168742
-0.000481,0.008040,-0.025629,-0.001655,-0.001536,-0.025846,-0.002230,-0.007062,-0.014423,-0.005198,-0.003825,-0.014100,0.006732,-0.018330,-0.024722,0.002433,-0.011952,0.006526,-0.007769,-0.000610,0.005657,-0.005404,0.020125,-0.032761,0.265409,0.104301,-0.019628,0.297914,0.062070,0.137424,0.324932,0.112153,0.220178,0.241093,0.000205,-0.007974,0.318613,-0.021790,0.199759,0.274775,0.049802,0.152790
