body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.011700,0.014600,-0.001350,-0.009634,0.014617,-0.001301,-0.009170,0.014807,-0.001318,-0.004704,0.016055,-0.001990,-0.011761,0.014613,-0.001322,-0.019142,0.013950,-0.001154,-0.026129,0.014536,-0.000041,-0.012286,0.014555,-0.001416,-0.027391,0.013782,0.000520,-0.026343,0.023832,0.005443,-0.015248,0.018728,0.022129,-0.024316,0.013632,-0.001311,-0.022895,0.006222,0.002372,-0.012404,0.018349,0.021205
-0.010875,0.011625,-0.001500,-0.009379,0.011698,-0.001410,-0.008364,0.011631,-0.001466,-0.004720,0.012191,-0.002025,-0.010540,0.011698,-0.001520,-0.017977,0.010977,-0.001346,-0.025154,0.011323,-0.000178,-0.011413,0.011550,-0.001561,-0.026356,0.010782,0.000328,-0.029029,0.025312,0.006969,-0.015834,0.017109,0.027961,-0.022741,0.010598,-0.001563,-0.025300,-0.000678,0.003204,-0.012878,0.016572,0.027189
-0.008350,0.002625,-0.001950,-0.008555,0.002874,-0.001733,-0.005851,0.002026,-0.001906,-0.004607,0.000524,-0.002141,-0.006807,0.002887,-0.002120,-0.014365,0.001990,-0.001931,-0.022068,0.001618,-0.000606,-0.008746,0.002458,-0.001995,-0.022945,0.001684,-0.000227,-0.033091,0.024957,0.009787,-0.016057,0.011209,0.038833,-0.017675,0.001414,-0.002277,-0.027733,-0.016976,0.004484,-0.012180,0.010389,0.038004
-0.005300,-0.002450,-0.002575,-0.006255,-0.002054,-0.002244,-0.002139,-0.003086,-0.002483,-0.004002,-0.005877,-0.002205,-0.003017,-0.002033,-0.002872,-0.009733,-0.002532,-0.002720,-0.016700,-0.002875,-0.001483,-0.005643,-0.002681,-0.002615,-0.019074,-0.002943,-0.001255,-0.034775,0.027858,0.011870,-0.014213,0.008647,0.048832,-0.013133,-0.003254,-0.002770,-0.028953,-0.028073,0.006050,-0.010635,0.007645,0.048298
-0.003275,-0.001025,-0.003050,-0.003660,-0.000587,-0.002678,0.000855,-0.001118,-0.002899,-0.003302,-0.003781,-0.002165,-0.001095,-0.000568,-0.003386,-0.006448,-0.000304,-0.003300,-0.011792,0.000104,-0.002352,-0.003677,-0.001258,-0.003096,-0.016862,-0.000728,-0.002244,-0.035556,0.036243,0.013746,-0.011829,0.011881,0.058420,-0.011557,-0.001027,-0.002802,-0.030915,-0.031195,0.008050,-0.010025,0.010819,0.058369
-0.005450,0.002525,-0.002825,-0.006572,0.002840,-0.002572,-0.001648,0.002876,-0.002775,-0.003754,0.000931,-0.002408,-0.002678,0.002863,-0.003055,-0.006844,0.002977,-0.002981,-0.011220,0.002784,-0.002164,-0.005786,0.002323,-0.002864,-0.018011,0.003596,-0.002550,-0.039565,0.045698,0.015920,-0.014054,0.018130,0.066236,-0.012300,0.003282,-0.002246,-0.034094,-0.030420,0.010050,-0.012403,0.017092,0.066354
-0.005300,0.005250,-0.002200,-0.007308,0.005433,-0.002073,-0.002227,0.005902,-0.002255,-0.001511,0.004719,-0.002405,-0.001926,0.005463,-0.002317,-0.005420,0.004923,-0.002217,-0.008913,0.003511,-0.001500,-0.005556,0.005074,-0.002230,-0.016977,0.007032,-0.002398,-0.040609,0.053066,0.018145,-0.014331,0.024088,0.072406,-0.010344,0.006692,-0.001333,-0.033141,-0.028818,0.011882,-0.011801,0.023129,0.072604
0.003625,0.004250,-0.001425,0.001731,0.004473,-0.001259,0.006428,0.005062,-0.001411,0.007127,0.004165,-0.001543,0.006909,0.004505,-0.001576,0.003235,0.003249,-0.001428,0.001134,0.000765,-0.000915,0.003353,0.004050,-0.001457,-0.008239,0.006591,-0.001951,-0.032583,0.055345,0.020287,-0.006030,0.026497,0.077316,-0.000708,0.006231,-0.000267,-0.022826,-0.029545,0.013432,-0.002267,0.025632,0.077604
0.007675,0.002775,-0.000800,0.006285,0.003049,-0.000587,0.010802,0.003400,-0.000743,0.012568,0.002867,-0.001071,0.010146,0.003076,-0.001005,0.006854,0.001290,-0.000834,0.007207,-0.001812,-0.000740,0.007475,0.002591,-0.000823,-0.002026,0.005299,-0.001613,-0.026347,0.055576,0.021839,-0.000980,0.026898,0.079420,0.003573,0.005012,0.000513,-0.018547,-0.029908,0.014029,0.000761,0.026135,0.079736
0.004850,0.001525,-0.000650,0.004112,0.001826,-0.000414,0.008758,0.001667,-0.000606,0.012163,0.001358,-0.001253,0.006197,0.001844,-0.000893,0.003669,-0.000040,-0.000735,0.006311,-0.003021,-0.001062,0.004772,0.001393,-0.000659,-0.001464,0.003794,-0.001577,-0.025077,0.054732,0.022743,-0.001707,0.026639,0.079104,0.000388,0.003637,0.000623,-0.021985,-0.029363,0.013370,-0.004106,0.025960,0.079147
0.004575,0.005375,-0.000250,0.003236,0.005665,-0.000043,0.009972,0.005270,-0.000348,0.015131,0.004381,-0.001360,0.006070,0.005689,-0.000485,0.002509,0.003737,-0.000294,0.004065,0.000362,-0.000415,0.004616,0.005240,-0.000246,-0.000270,0.007808,-0.001380,-0.024240,0.058761,0.023371,-0.002552,0.034247,0.077087,0.001940,0.007650,0.001060,-0.019262,-0.022414,0.012731,-0.003934,0.033574,0.077191
0.003925,0.007825,-0.000050,0.001848,0.008103,0.000132,0.009887,0.007489,-0.000249,0.015515,0.005830,-0.001379,0.005805,0.008134,-0.000273,0.001263,0.006075,-0.000048,0.001227,0.002265,0.000126,0.004048,0.007671,-0.000037,-0.000216,0.010464,-0.001352,-0.024473,0.060890,0.023546,-0.004311,0.041276,0.073581,0.003389,0.010274,0.001294,-0.015868,-0.016333,0.011704,-0.003481,0.040578,0.073827
0.000000,0.002325,-0.000550,-0.001805,0.002626,-0.000332,0.004066,0.001539,-0.000645,0.007564,-0.000473,-0.001371,0.001485,0.002653,-0.000799,-0.002092,0.000389,-0.000585,-0.001332,-0.003407,-0.000568,0.000122,0.002177,-0.000537,-0.003107,0.004860,-0.001876,-0.026380,0.054332,0.023046,-0.007797,0.039259,0.068784,-0.000141,0.004701,0.000757,-0.017248,-0.018389,0.009857,-0.007432,0.038560,0.069074
0.000400,0.000100,-0.001025,-0.000798,0.000400,-0.000791,0.002888,-0.001355,-0.001047,0.004761,-0.003660,-0.001471,0.001311,0.000419,-0.001278,-0.001389,-0.001965,-0.001079,-0.001246,-0.005321,-0.000981,0.000487,-0.000028,-0.001016,-0.001258,0.002343,-0.002304,-0.023479,0.050755,0.022565,-0.006625,0.040632,0.063049,0.000856,0.002223,0.000120,-0.013946,-0.017273,0.007850,-0.007039,0.039950,0.063318
0.004900,0.002325,-0.001275,0.004335,0.002604,-0.001048,0.006899,0.000319,-0.001286,0.008441,-0.002075,-0.001655,0.005325,0.002615,-0.001510,0.002944,0.000265,-0.001323,0.001352,-0.002430,-0.000946,0.004938,0.002220,-0.001271,0.004463,0.004222,-0.002456,-0.016555,0.051621,0.022371,-0.001295,0.046930,0.057136,0.005995,0.004132,-0.000329,-0.005969,-0.011716,0.006044,-0.002126,0.046283,0.057443
0.001175,0.006675,-0.001725,0.000321,0.006872,-0.001564,0.001684,0.004476,-0.001762,0.002556,0.001903,-0.002016,0.001838,0.006886,-0.001895,0.001201,0.004928,-0.001775,0.000442,0.002764,-0.001572,0.001233,0.006596,-0.001719,0.001594,0.007896,-0.002567,-0.018306,0.054720,0.022436,-0.004410,0.056220,0.051170,0.003317,0.007811,-0.001195,-0.005342,-0.003923,0.003613,-0.004664,0.055620,0.051001
-0.003025,0.009175,-0.001650,-0.004238,0.009265,-0.001580,-0.004308,0.006970,-0.001713,-0.003788,0.004561,-0.001897,-0.002233,0.009280,-0.001734,-0.001185,0.007750,-0.001680,-0.000209,0.005982,-0.001805,-0.002914,0.009134,-0.001638,-0.001748,0.009873,-0.002229,-0.020268,0.056237,0.023020,-0.007592,0.063854,0.045778,-0.000096,0.009801,-0.001432,-0.005521,0.002421,0.001645,-0.007646,0.063313,0.045276
0.000025,0.005900,-0.000350,-0.000758,0.005877,-0.000370,-0.002619,0.003674,-0.000417,-0.001421,0.002196,-0.000693,-0.000020,0.005881,-0.000343,0.001142,0.004474,-0.000297,0.003059,0.002952,-0.000592,0.000188,0.005924,-0.000331,0.002557,0.006752,-0.001077,-0.013979,0.052344,0.024269,-0.002510,0.065153,0.041409,0.002790,0.006734,0.000001,-0.000009,0.003628,0.001273,-0.004113,0.064684,0.041517
0.000625,0.000725,0.000250,0.000056,0.000706,0.000238,-0.002850,-0.001674,0.000223,-0.002086,-0.003093,0.000015,-0.000006,0.000704,0.000245,0.001734,-0.000753,0.000285,0.003567,-0.002213,0.000003,0.000859,0.000767,0.000277,0.004398,0.001376,-0.000445,-0.010527,0.046628,0.025204,-0.000219,0.064978,0.036698,0.003608,0.001398,0.000524,0.002872,0.003391,-0.000536,-0.002853,0.064574,0.036840
-0.001525,-0.003725,-0.000175,-0.002212,-0.003625,-0.000084,-0.004903,-0.006377,-0.000139,-0.005497,-0.008662,-0.000147,-0.002191,-0.003626,-0.000289,0.000297,-0.005278,-0.000251,0.001060,-0.006890,-0.000343,-0.001239,-0.003721,-0.000142,0.002900,-0.003530,-0.000675,-0.010929,0.041718,0.025426,-0.001601,0.066150,0.031469,0.002064,-0.003501,-0.000143,0.003102,0.004286,-0.003938,-0.003967,0.065798,0.031204
-0.003675,-0.004600,-0.000625,-0.004002,-0.004514,-0.000549,-0.006680,-0.006906,-0.000590,-0.004935,-0.008191,-0.001007,-0.005280,-0.004524,-0.000740,-0.002159,-0.005968,-0.000723,-0.001268,-0.007242,-0.000860,-0.003251,-0.004574,-0.000577,0.000853,-0.004435,-0.001074,-0.011314,0.040548,0.025359,-0.002706,0.070308,0.026891,-0.000771,-0.004377,-0.000531,0.001851,0.009027,-0.006979,-0.005683,0.070016,0.026771
