body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
0.046256,-0.010303,0.783686,0.047009,0.106974,0.651317,0.031932,0.126267,0.346063,-0.027007,0.139423,0.034523,0.047844,-0.125925,0.649833,0.041350,-0.142344,0.344181,-0.011877,-0.153788,0.031639,0.041307,-0.010417,0.827586,0.066246,0.129638,1.071639,0.085852,0.208475,0.906264,0.224095,0.172247,0.795180,0.056323,-0.151239,1.072163,0.086048,-0.227510,0.907178,0.220574,-0.181149,0.795207
0.046022,-0.010011,0.783659,0.046817,0.107267,0.651291,0.031749,0.126563,0.346037,-0.027101,0.139744,0.034483,0.047609,-0.125633,0.649806,0.040967,-0.142065,0.344158,-0.012399,-0.153497,0.031638,0.041061,-0.010126,0.827558,0.065698,0.129914,1.071650,0.085325,0.208952,0.906373,0.223790,0.172622,0.795623,0.055837,-0.150966,1.072137,0.085590,-0.227385,0.907226,0.220326,-0.180782,0.795632
0.045821,-0.009838,0.783626,0.046634,0.107442,0.651260,0.031597,0.126732,0.346005,-0.027196,0.139911,0.034442,0.047422,-0.125458,0.649772,0.040631,-0.141905,0.344127,-0.012883,-0.153335,0.031631,0.040850,-0.009955,0.827523,0.065191,0.130069,1.071652,0.084691,0.209488,0.906543,0.223461,0.172931,0.796299,0.055413,-0.150815,1.072100,0.085036,-0.227537,0.907306,0.220059,-0.180486,0.796295
0.045688,-0.009906,0.783581,0.046474,0.107382,0.651221,0.031515,0.126644,0.345961,-0.027285,0.139765,0.034397,0.047336,-0.125518,0.649721,0.040393,-0.141986,0.344080,-0.013282,-0.153432,0.031614,0.040711,-0.010028,0.827478,0.064780,0.129981,1.071641,0.084001,0.209950,0.906764,0.223147,0.173070,0.797176,0.055130,-0.150910,1.072046,0.084480,-0.228064,0.907405,0.219839,-0.180367,0.797152
0.045609,-0.009936,0.783523,0.046384,0.107360,0.651171,0.031512,0.126609,0.345905,-0.027356,0.139676,0.034354,0.047302,-0.125539,0.649657,0.040242,-0.142007,0.344018,-0.013551,-0.153450,0.031572,0.040625,-0.010062,0.827419,0.064429,0.129951,1.071602,0.083300,0.210602,0.907018,0.222893,0.173277,0.798252,0.054888,-0.150945,1.071990,0.083878,-0.228660,0.907548,0.219634,-0.180181,0.798227
0.045557,-0.009947,0.783459,0.046328,0.107358,0.651114,0.031549,0.126599,0.345845,-0.027417,0.139614,0.034311,0.047293,-0.125540,0.649586,0.040135,-0.141998,0.343948,-0.013754,-0.153428,0.031519,0.040564,-0.010078,0.827354,0.064106,0.129952,1.071551,0.082579,0.211400,0.907314,0.222674,0.173545,0.799513,0.054667,-0.150951,1.071934,0.083244,-0.229312,0.907727,0.219438,-0.179934,0.799487
0.045391,-0.009835,0.783410,0.046121,0.107474,0.651068,0.031446,0.126724,0.345794,-0.027506,0.139713,0.034257,0.047195,-0.125424,0.649535,0.039968,-0.141888,0.343899,-0.014000,-0.153339,0.031486,0.040393,-0.009969,0.827304,0.063708,0.130095,1.071500,0.081717,0.212430,0.907654,0.222331,0.174002,0.800902,0.054396,-0.150814,1.071900,0.082514,-0.229876,0.907950,0.219138,-0.179497,0.800881
0.045345,-0.009737,0.783371,0.046036,0.107575,0.651031,0.031460,0.126836,0.345755,-0.027478,0.139803,0.034215,0.047216,-0.125322,0.649493,0.039918,-0.141801,0.343860,-0.014110,-0.153288,0.031459,0.040342,-0.009875,0.827265,0.063427,0.130233,1.071455,0.080955,0.213523,0.908040,0.222101,0.174509,0.802409,0.054254,-0.150683,1.071880,0.081918,-0.230465,0.908202,0.218966,-0.179009,0.802391
0.045536,-0.009665,0.783353,0.046190,0.107653,0.651017,0.031703,0.126926,0.345738,-0.027221,0.139880,0.034195,0.047471,-0.125244,0.649472,0.040097,-0.141758,0.343842,-0.013954,-0.153308,0.031449,0.040527,-0.009807,0.827246,0.063378,0.130359,1.071422,0.080414,0.214644,0.908466,0.222089,0.175062,0.803994,0.054368,-0.150565,1.071889,0.081601,-0.231058,0.908488,0.219047,-0.178472,0.803985
0.045652,-0.009626,0.783339,0.046287,0.107697,0.651008,0.031892,0.126972,0.345725,-0.026975,0.139917,0.034172,0.047621,-0.125199,0.649453,0.040192,-0.141749,0.343826,-0.013822,-0.153360,0.031430,0.040641,-0.009771,0.827232,0.063346,0.130445,1.071390,0.079901,0.215746,0.908913,0.222062,0.175585,0.805586,0.054397,-0.150483,1.071901,0.081176,-0.231661,0.908763,0.218996,-0.177963,0.805580
0.045730,-0.009604,0.783327,0.046355,0.107726,0.651001,0.032053,0.126993,0.345714,-0.026734,0.139934,0.034145,0.047719,-0.125170,0.649436,0.040244,-0.141759,0.343812,-0.013702,-0.153429,0.031407,0.040718,-0.009752,0.827220,0.063320,0.130511,1.071359,0.079411,0.216833,0.909376,0.222021,0.176128,0.807158,0.054383,-0.150419,1.071914,0.080721,-0.232233,0.909022,0.218883,-0.177433,0.807151
0.045835,-0.009411,0.783329,0.046416,0.107924,0.651006,0.032291,0.127182,0.345711,-0.026370,0.140093,0.034117,0.047864,-0.124971,0.649434,0.040292,-0.141600,0.343815,-0.013659,-0.153346,0.031413,0.040825,-0.009562,0.827222,0.063335,0.130757,1.071335,0.078931,0.218096,0.909848,0.221960,0.176955,0.808670,0.054474,-0.150177,1.071943,0.080406,-0.232558,0.909273,0.218839,-0.176621,0.808668
0.045887,-0.009291,0.783325,0.046429,0.108050,0.651006,0.032449,0.127293,0.345704,-0.026114,0.140167,0.034090,0.047951,-0.124845,0.649425,0.040295,-0.141516,0.343810,-0.013653,-0.153338,0.031412,0.040880,-0.009445,0.827218,0.063311,0.130929,1.071305,0.078432,0.219269,0.910317,0.221849,0.177779,0.810102,0.054519,-0.150008,1.071966,0.080087,-0.232886,0.909490,0.218743,-0.175810,0.810104
0.045835,-0.009318,0.783307,0.046344,0.108029,0.650993,0.032453,0.127244,0.345685,-0.026067,0.140074,0.034062,0.047924,-0.124865,0.649402,0.040209,-0.141584,0.343791,-0.013713,-0.153482,0.031391,0.040830,-0.009475,0.827200,0.063210,0.130952,1.071260,0.077876,0.220269,0.910770,0.221648,0.178525,0.811421,0.054469,-0.149989,1.071973,0.079716,-0.233293,0.909667,0.218542,-0.175078,0.811431
0.045903,-0.009287,0.783284,0.046397,0.108066,0.650974,0.032564,0.127238,0.345662,-0.025923,0.140021,0.034031,0.048004,-0.124828,0.649374,0.040239,-0.141595,0.343767,-0.013702,-0.153551,0.031372,0.040899,-0.009446,0.827178,0.063261,0.131023,1.071213,0.077492,0.221299,0.911220,0.221584,0.179404,0.812624,0.054553,-0.149919,1.071971,0.079529,-0.233577,0.909804,0.218462,-0.174212,0.812637
