body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
0.999932,0.003107,-0.011249,-0.000279,0.996659,0.054408,-0.060848,0.002699,0.988924,0.030628,0.094967,0.109872,0.994153,-0.007928,0.007480,0.107434,0.996319,-0.038773,-0.076360,-0.003690,0.993593,-0.023476,0.088184,-0.066676,0.997896,0.002709,-0.011815,-0.063698,0.999365,-0.000211,0.029433,-0.020094,0.973755,0.225667,-0.009472,-0.028020,0.892191,0.283162,0.295302,-0.191339,0.892698,0.311484,0.121826,-0.302038,0.973893,-0.221347,-0.049708,-0.008230,0.880697,-0.302423,0.284484,0.227997,0.892065,-0.329351,0.095709,0.294258
0.999930,0.003108,-0.011382,-0.000337,0.996658,0.054423,-0.060860,0.002643,0.988935,0.030649,0.094845,0.109874,0.994162,-0.007805,0.006941,0.107390,0.996333,-0.038920,-0.076109,-0.003747,0.993538,-0.023514,0.088385,-0.067207,0.997864,0.002920,-0.011475,-0.064237,0.999383,-0.000159,0.028902,-0.019981,0.973629,0.226239,-0.009572,-0.027766,0.892472,0.283418,0.294263,-0.191253,0.892708,0.311771,0.120387,-0.302288,0.973790,-0.221772,-0.049806,-0.008291,0.881033,-0.302477,0.283242,0.228171,0.892222,-0.329341,0.093914,0.294371
0.999929,0.003118,-0.011493,-0.000305,0.996656,0.054407,-0.060913,0.002676,0.988943,0.030632,0.094774,0.109871,0.994169,-0.007672,0.006561,0.107357,0.996347,-0.039066,-0.075852,-0.003716,0.993487,-0.023563,0.088603,-0.067660,0.997838,0.003078,-0.011188,-0.064694,0.999399,-0.000105,0.028429,-0.019828,0.973390,0.227314,-0.009253,-0.027465,0.892850,0.283812,0.292693,-0.191312,0.892672,0.312129,0.117997,-0.302966,0.973609,-0.222641,-0.049462,-0.008346,0.881526,-0.302480,0.281343,0.228613,0.892470,-0.329157,0.090943,0.294759
0.999928,0.003147,-0.011562,-0.000092,0.996651,0.054331,-0.061050,0.002887,0.988944,0.030542,0.094801,0.109862,0.994172,-0.007519,0.006495,0.107344,0.996362,-0.039205,-0.075589,-0.003506,0.993443,-0.023631,0.088852,-0.067956,0.997821,0.003131,-0.011008,-0.064985,0.999414,-0.000046,0.028066,-0.019596,0.973044,0.228865,-0.008518,-0.027093,0.893304,0.284336,0.290691,-0.191467,0.892635,0.312512,0.114726,-0.303935,0.973360,-0.223891,-0.048715,-0.008336,0.882121,-0.302450,0.278888,0.229364,0.892768,-0.328742,0.086933,0.295529
0.999927,0.003180,-0.011649,0.000076,0.996645,0.054255,-0.061207,0.003054,0.988946,0.030458,0.094933,0.109752,0.994186,-0.007322,0.006467,0.107229,0.996374,-0.039294,-0.075387,-0.003341,0.993408,-0.023658,0.089040,-0.068206,0.997805,0.003183,-0.010948,-0.065229,0.999428,-0.000032,0.027712,-0.019397,0.972605,0.230795,-0.007566,-0.026744,0.893833,0.285002,0.288199,-0.191773,0.892633,0.312870,0.110469,-0.305149,0.973036,-0.225505,-0.047734,-0.008378,0.882819,-0.302448,0.275931,0.230256,0.893118,-0.328114,0.081967,0.296585
0.999926,0.003215,-0.011745,0.000222,0.996638,0.054180,-0.061374,0.003200,0.988949,0.030378,0.095116,0.109592,0.994206,-0.007103,0.006457,0.107064,0.996385,-0.039358,-0.075216,-0.003197,0.993378,-0.023666,0.089197,-0.068434,0.997791,0.003234,-0.010948,-0.065449,0.999441,-0.000040,0.027362,-0.019214,0.972081,0.233064,-0.006470,-0.026404,0.894405,0.285829,0.285332,-0.192165,0.892690,0.313167,0.105305,-0.306499,0.972655,-0.227373,-0.046620,-0.008446,0.883583,-0.302475,0.272580,0.231280,0.893510,-0.327201,0.076150,0.297960
0.999925,0.003230,-0.011802,0.000499,0.996627,0.054150,-0.061560,0.003481,0.988953,0.030334,0.095104,0.109579,0.994210,-0.006945,0.006350,0.107043,0.996394,-0.039396,-0.075094,-0.002921,0.993369,-0.023703,0.089332,-0.068378,0.997794,0.003236,-0.011004,-0.065382,0.999452,-0.000087,0.027113,-0.018991,0.971490,0.235590,-0.005184,-0.026050,0.894972,0.286764,0.282322,-0.192578,0.892827,0.313304,0.099449,-0.307913,0.972235,-0.229410,-0.045368,-0.008454,0.884335,-0.302536,0.269033,0.232476,0.893911,-0.325947,0.069675,0.299712
0.999924,0.003246,-0.011862,0.000770,0.996617,0.054117,-0.061739,0.003757,0.988958,0.030293,0.095093,0.109548,0.994216,-0.006792,0.006236,0.107003,0.996402,-0.039438,-0.074971,-0.002651,0.993365,-0.023757,0.089437,-0.068278,0.997801,0.003216,-0.011081,-0.065269,0.999463,-0.000150,0.026870,-0.018749,0.970840,0.238317,-0.003848,-0.025681,0.895525,0.287830,0.279213,-0.192946,0.893029,0.313304,0.092977,-0.309346,0.971795,-0.231508,-0.044129,-0.008438,0.885083,-0.302622,0.265326,0.233775,0.894331,-0.324353,0.062590,0.301745
0.999923,0.003267,-0.011926,0.001027,0.996608,0.054084,-0.061901,0.004016,0.988967,0.030263,0.095084,0.109483,0.994226,-0.006646,0.006110,0.106928,0.996411,-0.039484,-0.074842,-0.002396,0.993372,-0.023845,0.089482,-0.068090,0.997813,0.003153,-0.011196,-0.065064,0.999474,-0.000241,0.026643,-0.018469,0.970152,0.241164,-0.002479,-0.025287,0.896051,0.288982,0.276131,-0.193218,0.893281,0.313155,0.086108,-0.310754,0.971348,-0.233598,-0.042941,-0.008370,0.885798,-0.302728,0.261558,0.235168,0.894747,-0.322455,0.055065,0.304003
0.999922,0.003290,-0.011953,0.001178,0.996601,0.054015,-0.062068,0.004168,0.988997,0.030224,0.095003,0.109294,0.994248,-0.006565,0.005996,0.106734,0.996415,-0.039554,-0.074747,-0.002249,0.993379,-0.023932,0.089421,-0.068041,0.997816,0.003058,-0.011334,-0.065000,0.999480,-0.000330,0.026488,-0.018373,0.969427,0.244090,-0.001093,-0.025097,0.896475,0.290264,0.273150,-0.193565,0.893473,0.312917,0.079074,-0.312309,0.970918,-0.235596,-0.041726,-0.008451,0.886518,-0.302737,0.257907,0.236476,0.895216,-0.320260,0.047405,0.306227
0.999922,0.003314,-0.011962,0.001275,0.996594,0.053927,-0.062237,0.004264,0.989037,0.030180,0.094887,0.109043,0.994276,-0.006515,0.005888,0.106480,0.996418,-0.039635,-0.074669,-0.002159,0.993385,-0.024019,0.089308,-0.068062,0.997814,0.002948,-0.011483,-0.065006,0.999483,-0.000417,0.026369,-0.018368,0.968681,0.247046,0.000283,-0.025013,0.896823,0.291628,0.270322,-0.193874,0.893612,0.312643,0.072115,-0.313866,0.970515,-0.237448,-0.040558,-0.008596,0.887223,-0.302664,0.254353,0.237769,0.895691,-0.317863,0.039754,0.308415
0.999922,0.003336,-0.011935,0.001518,0.996578,0.053864,-0.062539,0.004514,0.989064,0.030105,0.094691,0.108995,0.994283,-0.006477,0.005727,0.106430,0.996429,-0.039674,-0.074508,-0.001916,0.993399,-0.024120,0.089321,-0.067818,0.997831,0.002904,-0.011558,-0.064747,0.999486,-0.000521,0.026331,-0.018254,0.967932,0.249975,0.001728,-0.024855,0.897125,0.292979,0.267784,-0.193965,0.893749,0.312352,0.065554,-0.315202,0.970149,-0.239125,-0.039458,-0.008600,0.887842,-0.302552,0.250908,0.239257,0.896083,-0.315352,0.032289,0.310720
0.999922,0.003359,-0.011907,0.001732,0.996565,0.053794,-0.062791,0.004732,0.989086,0.030027,0.094544,0.108944,0.994289,-0.006444,0.005578,0.106378,0.996438,-0.039720,-0.074368,-0.001703,0.993412,-0.024222,0.089314,-0.067599,0.997845,0.002878,-0.011614,-0.064515,0.999489,-0.000623,0.026310,-0.018158,0.967181,0.252863,0.003135,-0.024728,0.897368,0.294363,0.265474,-0.193921,0.893839,0.312143,0.059476,-0.316357,0.969822,-0.240606,-0.038481,-0.008601,0.888410,-0.302383,0.247565,0.240841,0.896408,-0.312810,0.025149,0.313003
0.999922,0.003384,-0.011880,0.001889,0.996559,0.053712,-0.062946,0.004888,0.989099,0.029944,0.094492,0.108889,0.994296,-0.006418,0.005446,0.106319,0.996443,-0.039777,-0.074271,-0.001550,0.993425,-0.024326,0.089268,-0.067430,0.997856,0.002890,-0.011636,-0.064336,0.999489,-0.000722,0.026319,-0.018099,0.966434,0.255690,0.004499,-0.024655,0.897543,0.295777,0.263423,-0.193756,0.893876,0.312066,0.054023,-0.317305,0.969534,-0.241894,-0.037635,-0.008614,0.888907,-0.302172,0.244346,0.242554,0.896641,-0.310310,0.018469,0.315281
0.999922,0.003406,-0.011868,0.001973,0.996558,0.053600,-0.063051,0.004967,0.989121,0.029851,0.094456,0.108752,0.994312,-0.006415,0.005356,0.106183,0.996447,-0.039853,-0.074189,-0.001471,0.993423,-0.024417,0.089294,-0.067384,0.997860,0.002877,-0.011604,-0.064281,0.999488,-0.000805,0.026370,-0.018075,0.965689,0.258464,0.005823,-0.024636,0.897638,0.297238,0.261663,-0.193464,0.893855,0.312180,0.049301,-0.318018,0.969289,-0.242983,-0.036937,-0.008636,0.889316,-0.301927,0.241254,0.244445,0.896758,-0.307898,0.012325,0.317604
0.999922,0.003427,-0.011863,0.002020,0.996559,0.053471,-0.063132,0.005007,0.989146,0.029754,0.094428,0.108575,0.994330,-0.006425,0.005287,0.106008,0.996449,-0.039936,-0.074113,-0.001430,0.993414,-0.024501,0.089358,-0.067399,0.997860,0.002852,-0.011545,-0.064289,0.999487,-0.000880,0.026443,-0.018070,0.964948,0.261183,0.007082,-0.024650,0.897660,0.298747,0.260188,-0.193024,0.893786,0.312527,0.045348,-0.318461,0.969082,-0.243880,-0.036433,-0.008655,0.889630,-0.301675,0.238255,0.246546,0.896738,-0.305630,0.006730,0.320008
0.999922,0.003437,-0.011842,0.002124,0.996562,0.053388,-0.063153,0.005105,0.989146,0.029669,0.094429,0.108595,0.994328,-0.006420,0.005252,0.106031,0.996444,-0.039996,-0.074143,-0.001334,0.993417,-0.024557,0.089330,-0.067379,0.997862,0.002804,-0.011500,-0.064268,0.999484,-0.000907,0.026555,-0.018044,0.964199,0.263898,0.008297,-0.024662,0.897597,0.300344,0.259035,-0.192392,0.893664,0.313172,0.042222,-0.318597,0.968931,-0.244529,-0.036119,-0.008631,0.889854,-0.301368,0.235334,0.248906,0.896589,-0.303472,0.001683,0.322538
0.999922,0.003442,-0.011813,0.002186,0.996567,0.053306,-0.063134,0.005160,0.989151,0.029599,0.094415,0.108577,0.994330,-0.006417,0.005208,0.106015,0.996440,-0.040051,-0.074176,-0.001279,0.993420,-0.024607,0.089281,-0.067382,0.997863,0.002734,-0.011477,-0.064269,0.999481,-0.000938,0.026675,-0.018054,0.963451,0.266574,0.009421,-0.024720,0.897457,0.302014,0.258148,-0.191620,0.893490,0.314105,0.039856,-0.318472,0.968829,-0.244951,-0.035992,-0.008625,0.890017,-0.301004,0.232491,0.251423,0.896338,-0.301459,-0.002819,0.325105
