joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.075509,0.044354,-0.039489,0.102882,-0.083976,-0.008710,0.202613,-0.116801,0.081087,0.149618,0.159683,-0.067280,-0.166044,-0.166087,-0.196545,0.457678,-0.444651,-0.095706,0.065373,-0.483572,0.652244,0.543818,0.573389,0.175927,-0.176839,-0.369761,-0.365909,-0.051150,-0.051150
0.075757,0.045118,-0.039152,0.102916,-0.084265,-0.008585,0.202733,-0.117726,0.080296,0.149404,0.159645,-0.066467,-0.165161,-0.166941,-0.196201,0.458708,-0.445634,-0.095592,0.065958,-0.483570,0.652136,0.541438,0.570543,0.176170,-0.177085,-0.370716,-0.366862,-0.051525,-0.051525
0.075870,0.045856,-0.038916,0.102862,-0.084579,-0.008472,0.202670,-0.118670,0.079574,0.149360,0.159630,-0.064917,-0.163494,-0.167590,-0.196008,0.460743,-0.447540,-0.095361,0.066450,-0.483559,0.651949,0.536794,0.565043,0.176586,-0.177510,-0.372635,-0.368771,-0.052163,-0.052163
0.075712,0.046540,-0.038883,0.102630,-0.084944,-0.008384,0.202244,-0.119652,0.078988,0.149653,0.159661,-0.062762,-0.161205,-0.167828,-0.196115,0.463725,-0.450255,-0.094894,0.066757,-0.483528,0.651727,0.530119,0.557244,0.177057,-0.177995,-0.375548,-0.371663,-0.052886,-0.052886
0.075554,0.047133,-0.038822,0.102397,-0.085209,-0.008398,0.201692,-0.120469,0.078453,0.150187,0.159679,-0.060153,-0.158485,-0.168217,-0.196345,0.467569,-0.453624,-0.094352,0.066981,-0.483468,0.651513,0.521755,0.547606,0.177440,-0.178399,-0.379515,-0.375595,-0.053528,-0.053528
0.075397,0.047680,-0.038746,0.102163,-0.085425,-0.008464,0.201078,-0.121204,0.077944,0.150841,0.159689,-0.057240,-0.155516,-0.168681,-0.196637,0.472154,-0.457466,-0.093772,0.067164,-0.483368,0.651342,0.512126,0.536641,0.177607,-0.178592,-0.384619,-0.380648,-0.053988,-0.053988
0.075110,0.048061,-0.038850,0.102045,-0.085565,-0.008566,0.200488,-0.121633,0.077559,0.151156,0.159737,-0.054148,-0.152456,-0.168916,-0.197021,0.477341,-0.461591,-0.093389,0.067255,-0.483208,0.651237,0.501689,0.524855,0.177473,-0.178491,-0.390917,-0.386884,-0.054241,-0.054241
0.074845,0.048452,-0.038901,0.101922,-0.085714,-0.008701,0.199876,-0.121958,0.077192,0.151454,0.159715,-0.050971,-0.149424,-0.169165,-0.197388,0.482979,-0.465814,-0.093021,0.067327,-0.482954,0.651209,0.490866,0.512693,0.177013,-0.178068,-0.398372,-0.394269,-0.054328,-0.054328
0.074622,0.048860,-0.038847,0.101789,-0.085881,-0.008900,0.199224,-0.122073,0.076863,0.151720,0.159552,-0.047771,-0.146505,-0.169442,-0.197718,0.488923,-0.469969,-0.092684,0.067361,-0.482570,0.651267,0.480008,0.500502,0.176255,-0.177351,-0.406798,-0.402622,-0.054318,-0.054318
0.074327,0.049117,-0.038946,0.101590,-0.086085,-0.009113,0.198552,-0.122251,0.076603,0.151839,0.159254,-0.044588,-0.143756,-0.169551,-0.197877,0.495045,-0.473918,-0.092419,0.067345,-0.482018,0.651421,0.469370,0.488525,0.175257,-0.176397,-0.415867,-0.411617,-0.054280,-0.054280
