joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.012400,0.038200,0.016850,0.001700,-0.014450,0.006250,0.006000,-0.046250,-0.039550,-0.010700,-0.001900,0.040647,0.044114,-0.042700,0.017200,0.051521,-0.049157,0.005700,0.029250,0.000091,-0.005376,-0.119005,-0.142322,0.012111,-0.012305,-0.047748,-0.047619,-0.018792,-0.018792
0.009025,0.037550,0.014325,-0.000500,-0.015075,0.005950,0.001425,-0.046725,-0.037825,-0.006450,-0.001325,0.059060,0.063748,-0.037575,0.013425,0.076621,-0.072223,0.008625,0.026925,0.000327,-0.007367,-0.175606,-0.208647,0.016469,-0.016779,-0.071855,-0.071558,-0.025335,-0.025335
-0.001125,0.035550,0.006725,-0.007150,-0.016975,0.005025,-0.012225,-0.048150,-0.032700,0.006225,0.000400,0.092624,0.098913,-0.022175,0.002150,0.125426,-0.115512,0.017450,0.019975,0.001054,-0.010247,-0.282981,-0.332469,0.022190,-0.022758,-0.120806,-0.120043,-0.034014,-0.034014
-0.007900,0.031925,0.002350,-0.011625,-0.015750,0.001850,-0.024450,-0.044975,-0.028025,0.020675,0.001225,0.119096,0.125225,-0.015675,-0.008425,0.170645,-0.152088,0.025225,0.013275,0.002265,-0.010912,-0.375973,-0.435938,0.021359,-0.022228,-0.172006,-0.170578,-0.034135,-0.034135
-0.007875,0.028500,0.003425,-0.011675,-0.012025,-0.002000,-0.029150,-0.038800,-0.026100,0.029700,0.000700,0.138036,0.142214,-0.021325,-0.013050,0.210715,-0.180272,0.028050,0.010175,0.003991,-0.009603,-0.449805,-0.515078,0.013746,-0.014933,-0.226776,-0.224618,-0.027542,-0.027542
-0.011100,0.023200,-0.000700,-0.008800,-0.008900,-0.004200,-0.030100,-0.029100,-0.022350,0.024225,0.001450,0.150133,0.150729,-0.017475,-0.016900,0.244302,-0.199172,0.024075,0.006850,0.006509,-0.006890,-0.501655,-0.568771,0.000805,-0.002296,-0.285043,-0.282236,-0.017817,-0.017817
-0.013800,0.019300,-0.003875,-0.006025,-0.007225,-0.005925,-0.030050,-0.018850,-0.018800,0.015325,0.000650,0.156736,0.152317,-0.012100,-0.018775,0.270611,-0.208692,0.018775,0.004075,0.010339,-0.003331,-0.531500,-0.598697,-0.014860,0.013103,-0.343821,-0.340531,-0.008509,-0.008509
-0.012200,0.019975,0.000075,-0.006400,-0.007900,-0.008350,-0.031600,-0.011000,-0.017400,0.014100,-0.004625,0.159423,0.148757,-0.013150,-0.017425,0.289555,-0.209454,0.017625,0.002650,0.015945,0.000734,-0.542019,-0.608819,-0.030448,0.028483,-0.397030,-0.393449,-0.001930,-0.001930
-0.012950,0.016625,-0.001125,-0.008300,-0.009275,-0.010300,-0.033100,-0.007325,-0.014725,0.009625,-0.011525,0.159572,0.141679,-0.009650,-0.012225,0.301666,-0.202623,0.015050,0.000450,0.023418,0.005302,-0.537399,-0.604192,-0.043884,0.041779,-0.437392,-0.433696,0.001200,0.001200
-0.015650,0.010975,-0.006850,-0.010825,-0.010650,-0.010825,-0.033825,-0.009650,-0.012150,0.004125,-0.016575,0.158011,0.132281,-0.003375,-0.005825,0.307856,-0.189743,0.012350,-0.001400,0.032409,0.010883,-0.521745,-0.589501,-0.054214,0.052044,-0.459367,-0.455685,0.001457,0.001457
